Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus
320-U1334C-1H-CC-PAL-NANNO,320,U1334,C,1,1-CC,H,CC,PAL,NANNO,0,0,9.78,9.78,PB - ,B,,,B [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334C-2H-CC-PAL-NANNO,320,U1334,C,2,2-CC,H,CC,PAL,NANNO,0,0,18.67,18.67,"PB - premac., nitescens, no heteromorph; floridanus common",NN6,middle Miocene,P [320_N],A [320_Ng],,,,,,,,C [320_Ns],C [320_Ns],R [320_Ns],R [320_Ns],,R [320_Ns],,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,C [320_Ns],,F [320_Ns],,,,,,,,C [320_Ns],,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,
320-U1334C-3H-CC-PAL-NANNO,320,U1334,C,3,3-CC,H,CC,PAL,NANNO,0,0,28.07,28.07,TDJ - heteromorphous,NN4-5,middle Miocene,M [320_N],A [320_Ng],,,,,,,F [320_Ns],C [320_Ns],C [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,C [320_Ns],,,R [320_Ns],,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,F [320_Ns],,,,,,,,,,,
320-U1334C-4H-CC-PAL-NANNO,320,U1334,C,4,4-CC,H,CC,PAL,NANNO,0,0,38.28,38.28,"TDJ - deflandrei common; no exilis, petaliformis or heteromorphous",NN3-4,early Miocene,M [320_N],A [320_Ng],,,,,,,,A [320_Ns],C [320_Ns],,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,
320-U1334C-5H-CC-PAL-NANNO,320,U1334,C,5,5-CC,H,CC,PAL,NANNO,0,0,48.0,48.0,TDJ - carinatus present,NN1-2,early Miocene,M [320_N],A [320_Ng],,,,,,C [320_Ns],,C [320_Ns],C [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,C [320_Ns],,,,,,,,,,,C [320_Ns],,,,,,,,,
320-U1334C-6H-CC-PAL-NANNO,320,U1334,C,6,6-CC,H,CC,PAL,NANNO,0,0,57.25,57.25,TDJ - ,NN1-2,early Miocene,M [320_N],A [320_Ng],,,,,,F [320_Ns],,C [320_Ns],A [320_Ns],,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,C [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,
320-U1334C-7H-CC-PAL-NANNO,320,U1334,C,7,7-CC,H,CC,PAL,NANNO,0,0,66.61,66.61,TDJ - ,NN1-2,early Miocene,M [320_N],D [320_Ng],,,,,,F [320_Ns],,C [320_Ns],A [320_Ns],,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,C [320_Ns],,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,F [320_Ns],,F [320_Ns],R [320_Ns],A [320_Ns],,,,,,,,,R [320_Ns],,,,,,,,,,,
320-U1334C-8H-CC-PAL-NANNO,320,U1334,C,8,8-CC,H,CC,PAL,NANNO,0,0,76.33,76.33,TDJ - ,NN1-2,early Miocene,M [320_N],A [320_Ng],,,R [320_Ns],,,F [320_Ns],,C [320_Ns],A [320_Ns],,C [320_Ns],,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],F [320_Ns],,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,R [320_Ns],,,,,,,,,
320-U1334C-9H-CC-PAL-NANNO,320,U1334,C,9,9-CC,H,CC,PAL,NANNO,0,0,85.79,85.79,TDJ - carinatus abundant; no disbelmnos?,NN1-2,early Miocene,M [320_N],D [320_Ng],,,,,,A [320_Ns],,C [320_Ns],A [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,C [320_Ns],,,,,,,,,,,,,,,,,,,,
320-U1334C-10H-CC-PAL-NANNO,320,U1334,C,10,10-CC,H,CC,PAL,NANNO,0,0,95.14,95.14,TDJ - delphix rare,NN1,Oligocene,M [320_N],A [320_Ng],,R [320_Ns],,,,C [320_Ns],,F [320_Ns],C [320_Ns],,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,R [320_Ns],,,,,R [320_Ns],,,,,,,,R [320_Ns],R [320_Ns],,,,,,,,,,,,,,,,F [320_Ns],,C [320_Ns],,C [320_Ns],,,,,,,,,,,,,,,,,,,,
