Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Calocycletta virginis,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus ,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri ,Lychnocanoma apodora,Comments,File data
320-U1335B-12H-CC-PAL-RADS,320,U1335,B,12,12-CC,H,CC,PAL,RADS,0,0,108.08,108.08,,,,,,,,vR,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-13H-CC-PAL-RADS,320,U1335,B,13,13-CC,H,CC,PAL,RADS,0,0,117.65,117.65,RN5,A,G,,,,,,R,R,,R,R,R,,,R,R,,,,,R,,,,F,,R,,,R,,,,F,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-14H-CC-PAL-RADS,320,U1335,B,14,14-CC,H,CC,PAL,RADS,0,0,127.01,127.01,RN5,A,G,,,,,R,R,R,R,R,,vR,,,,R,,,,,,,,,R,,R,,,R,,,,F,,,,,,F,R,,,,,,,,,,,,,,,
320-U1335B-15H-CC-PAL-RADS,320,U1335,B,15,15-CC,H,CC,PAL,RADS,0,0,136.78,136.78,RN5,A,G,,,,,R,R,R,R,R,,,R,R,R,R,R,,,,R,,,,F,,R,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1335B-16H-CC-PAL-RADS,320,U1335,B,16,16-CC,H,CC,PAL,RADS,0,0,146.17,146.17,RN5,A,G,,,,,R,R,R,R,R,,,R,R,R,R,R,,,,R,,,,F,,R,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1335B-17H-CC-PAL-RADS,320,U1335,B,17,17-CC,H,CC,PAL,RADS,0,0,155.64,155.64,RN4,A,G,,,,,R,R,R,R,,,,R,R,R,R,R,R,R,R,,,,,F,,R,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1335B-18H-CC-PAL-RADS,320,U1335,B,18,18-CC,H,CC,PAL,RADS,0,0,164.78,164.78,RN4,A,G,,,,,R,R,R,R,,,,R,R,R,R,R,R,R,R,,R,R,R,R,,R,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1335B-19H-CC-PAL-RADS,320,U1335,B,19,19-CC,H,CC,PAL,RADS,0,0,174.81,174.81,RN4,A,G,,,,,R,R,,R,,,R,R,R,R,R,R,R,R,R,,R,R,R,,,,,,R,,,,R,,,R,,,R,R,,,,,,,,,,,,,,,
320-U1335B-20H-CC-PAL-RADS,320,U1335,B,20,20-CC,H,CC,PAL,RADS,0,0,184.35,184.35,RN3,A,G,,,,,R,R,,R,,,R,R,,F,R,R,R,R,R,,R,R,R,,,,,,R,,,,R,,,F,,,C,F,,,,,,,,,,,,,,,
320-U1335B-21H-CC-PAL-RADS,320,U1335,B,21,21-CC,H,CC,PAL,RADS,0,0,193.42,193.42,RN3,A,G,,,,,R,R,,R,,,R,R,,F,R,R,,R,,,R,R,R,,,,,,R,,,,R,,,F,,,F,R,,,,,,,,,,,,,,,
320-U1335B-22H-CC-PAL-RADS,320,U1335,B,22,22-CC,H,CC,PAL,RADS,0,0,202.81,202.81,RN3,A,G,,,,,R,R,,R,,,R,R,,R,R,R,,R,vR,,R,R,R,,,,,,R,,,,R,,,R,,,F,R,,,,,,,,,,,,,,,
320-U1335B-23H-CC-PAL-RADS,320,U1335,B,23,23-CC,H,CC,PAL,RADS,0,0,211.78,211.78,RN3,A,G,,,,,R,R,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,,R,,vR,,F,,,R,,,F,R,,,,,,,,,,,,,,,
320-U1335B-24H-CC-PAL-RADS,320,U1335,B,24,24-CC,H,CC,PAL,RADS,0,0,222.11,222.11,RN2,A,G,,,,,F,R,,,,,R,R,,R,R,R,,R,,,R,R,R,,,,R,,,,,,F,,,R,,,F,R,,,R,,,,,,,,,,,,
320-U1335B-25H-CC-PAL-RADS,320,U1335,B,25,25-CC,H,CC,PAL,RADS,0,0,231.42,231.42,RN2,A,G,,,,,R,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,R,,R,,,,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-26H-CC-PAL-RADS,320,U1335,B,26,26-CC,H,CC,PAL,RADS,0,0,241.4,241.4,RN2,A,G,,,,,R,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,,,,R,,,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-27H-CC-PAL-RADS,320,U1335,B,27,27-CC,H,CC,PAL,RADS,0,0,250.9,250.9,RN2,A,G,,,,,F,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,R,,R,R,,F,,,R,F,,F,R,,,R,,,,,,,,,,,,
320-U1335B-28H-CC-PAL-RADS,320,U1335,B,28,28-CC,H,CC,PAL,RADS,0,0,260.4,260.4,RN2,A,G,,,,,F,,,,,,R,R,,R,R,,,vR,,,R,R,R,,,,R,,,,R,R,F,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-29H-CC-PAL-RADS,320,U1335,B,29,29-CC,H,CC,PAL,RADS,0,0,269.69,269.69,RN2,A,G,,,,,R,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,,,,,R,R,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-30H-CC-PAL-RADS,320,U1335,B,30,30-CC,H,CC,PAL,RADS,0,0,279.09,279.09,RN2,A,G,,,,,R,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,,,,,R,,,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335B-31H-CC-PAL-RADS,320,U1335,B,31,31-CC,H,CC,PAL,RADS,0,0,288.52,288.52,RN1,A,,,,,,R,,,,,,R,,,,R,,,,,,R,R,R,,,,R,,,,,R,,R,R,,,,F,R,,,R,,,,,,,,,,,,
320-U1335B-32H-CC-PAL-RADS,320,U1335,B,32,32-CC,H,CC,PAL,RADS,0,0,297.96,297.96,RN1,A,M,3,,,,R,,vR,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,,R,F,R,vR,,R,,,,vR,,,,,,,,
