Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyllissa ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Dictyoprora mongolfieri,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Comments,File data
320-U1333A-15X-2-W,320,U1333,A,15,15-2,X,2,W,,95,97,132.05,132.07,RP16,C,M,1,R,R,R,,R,,,,R,R,,,,R,R,R,,R,,R,,,,,,,,,,R,,R,,,R,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,R,F,,
320-U1333A-15X-4-W,320,U1333,A,15,15-4,X,4,W,,95,97,135.05,135.07,RP16,C,M,1,R,R,R,,F,,,,R,,,,,R,R,R,R,R,,R,,,R,R,,,,,,R,,R,vR,,,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,R,F,,
320-U1333A-15X-CC-PAL-RADS,320,U1333,A,15,15-CC,X,CC,PAL,RADS,0,0,139.14,139.14,,,,,,R,,,,,,,R,,,,,R,R,,,,,,,,R,R,,R,,,,vR,,vR,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,F,,
320-U1333A-16X-2-W 104/106,320,U1333,A,16,16-2,X,2,W,104/106,104,106,142.78,142.8,RP15,C,M,,R,R,R,,R,,,,R,,,,,R,R,,R,,,,,,R,R,,R,,,R,,,,R,,,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,R,F,,
320-U1333A-16X-4-W 104/106,320,U1333,A,16,16-4,X,4,W,104/106,104,106,145.78,145.8,RP15,C,M,,R,R,R,,R,,,,R,R,,,,R,R,,R,,R,,,,,R,,R,,,R,,R,,R,,,,,R,,R,,,,,R,,,,R,,,,,,,,,,,,,R,F,,
320-U1333A-16X-CC-PAL-RADS,320,U1333,A,16,16-CC,X,CC,PAL,RADS,0,0,149.09,149.09,RP15,C,M,,R,R,R,,R,,,,R,,,,,R,R,,R,,,,R,,-,R,,R,,,R,,R,,R,,-,,,,,R,-,,,R,R,,-,R,R,,,,,,,,,,,,,R,F,,
320-U1333A-17X-2-W 105/107,320,U1333,A,17,17-2,X,2,W,105/107,105,107,152.4,152.42,RP15,C,G,,R,R,R,,R,,,,R,R,,,,R,R,,R,,,,R,,,R,,R,,,R,,R,,R,,,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,R,F,,
320-U1333A-17X-4-W 105/107,320,U1333,A,17,17-4,X,4,W,105/107,105,107,155.4,155.42,RP14,C,G,,R,R,R,,R,,,,R,,,,,R,R,,R,,,,,,,R,,,,,R,,R,,R,,R,,R,R,,R,,,,,R,,,,R,,,,,,,,,,,,,,F,,
320-U1333A-17X-CC-PAL-RADS,320,U1333,A,17,17-CC,X,CC,PAL,RADS,0,0,158.46,158.46,RP14,C,M,,R,R,R,,R,,,,R,,,,,R,R,,,,,,R,,-,-,,,,,R,,R,,R,,R,,R,,R,-,-,R,,,R,vR,-,,R,,,,,,,,,,,,,R,F,,
320-U1333A-18X-1-W,320,U1333,A,18,18-1,X,1,W,,95,97,159.35,159.37,RP14,C,M,,,R,R,,R,,,,R,,,,,R,R,,R,,R,,R,,,,,,,,R,,-,,R,,R,,R,R,,,,R,,,R,,,,R,,,,,,,,,,,,,,F,,
