Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
363-U1489B-1H-1-W 75/75-NANNO,0,0,0.75,0.75,,AGSF,,,V [A94],R [A30],x [A115],A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,W,75/75-NANNO,
363-U1489B-1H-3-W 75/75-NANNO,0,0,3.77,3.77,,AGSF - check also under SEM if E. huxleyi is present,,,V [A94],R [A30],C [A04],A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,W,75/75-NANNO,
363-U1489B-1H-CC-PAL-NANNO,0,5,5.71,5.76,NN20 [M71],TDJ - no E. hux seen and Allan checked with SEM. G. carribeanica abundant but not super dominant - also medium size G. oceanica common. No P. lacunosa.,G [P33],D [A22],A [A23],,C [A04],A [A23],A [A23],,,,,,,,,,,,C [A04],,C [A04],,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,F [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,CC,PAL,NANNO,
363-U1489B-2H-4-W 75/75-NANNO,0,0,10.95,10.95,,AGSF - G. parallela present; Preservation of nannofossils moderate (Cretaceous reworked form [Eiffelithus] very rare),M [P33],,V [A94],x [A115],C [A04],C [A04],A [A23],R [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,4,W,75/75-NANNO,
363-U1489B-2H-6-W 75/75-NANNO,0,0,13.95,13.95,,"AGSF - some Gephyrocapsa slightly larger than 5 um; very rare Cretaceous forms (Cretarhabdus, Watznaueria)",,,V [A94],x [A115],C [A04],A [A23],A [A23],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,6,W,75/75-NANNO,
363-U1489B-2H-CC-PAL-NANNO,0,5,15.49,15.54,NN19 [M71],"TDJ - P. lacunosa present, abundant G. caribbeanica.",G [P33],D [A22],A [A23],,A [A23],A [A23],A [A23],C [A04],F [A30],,,,,,,,,,C [A04],,C [A04],,,,C [A04],,,,,,,,,,,,,,,,,,,F [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,CC,PAL,NANNO,
363-U1489B-3H-CC-PAL-NANNO,0,5,25.02,25.07,NN19 [M71],TDJ - P. ovata / lacunosa dominate the retic assemblage.,G [P33],D [A22],A [A23],,A [A23],R [A30],R [A30],C [A04],A [A23],,,,,,,,,,C [A04],,F [A30],,,,C [A04],,,,,,,,,,,,,,,,,,,F [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,3,H,CC,PAL,NANNO,
363-U1489B-4H-CC-PAL-NANNO,0,5,34.69,34.74,NN19 [M71],TDJ - H. sellii and C. macintyrei present. No discoasters. Looking somewhat etched / fragmented but still OK; C. pelagicus present.,M [P33],D [A22],A [A23],,,,,,A [A23],,,C [A04],,,,,F [A30],,C [A04],F [A30],C [A04],,,,C [A04],,,,,F [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,B,4,H,CC,PAL,NANNO,
363-U1489B-5H-CC-PAL-NANNO,0,5,44.09,44.14,NN18 [M71],TDJ - D. brouweri common; no D. pentaradiatus; more fragmented.,M [P33],D [A22],A [A23],,,,,C [A04],F [A30],,,A [A23],,,,,C [A04],,C [A04],F [A30],,,,,C [A04],,,,,F [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,C [A04],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,363,U1489,B,5,H,CC,PAL,NANNO,
363-U1489B-6H-CC-PAL-NANNO,0,5,53.51,53.56,NN16 [M71],"TDJ - D. pentaradiatus, D. surculus and D. tamalis present",M [P33],D [A22],A [A23],,,,,,C [A04],,,A [A23],,,,,C [A04],,C [A04],R [A30],,,F [A30],,C [A04],,,,,F [A30],,,,,,,,,R [A30],,,,,F [A30],,,,,,,,,,,,,C [A04],,R [A30],C [A04],R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,363,U1489,B,6,H,CC,PAL,NANNO,
