Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Silicoflagellates group abundance,Silicoflagellate preservation dissolution,Silicoflagellate preservation fragmentation,Corbisema apiculata,Corbisema flexuosa,Corbisema hastata,Corbisema regina,Corbisema sp.,Corbisema triacantha,Dictyocha deflandrei,Dictyocha fibula,Dictyocha frenguellii,Dictyocha hexacantha,Dictyocha pentagona,Distephanus pseudofibulua,Distephanus speculum,Mesocena diadon diadon,Naviculopsis constricta,Naviculopsis foliacea,Septamesocena apiculata,Septamesocena pappii,Silicoflagellate species,Zone name,Zone name (short)
318-U1356A-1R-2-W 2/4-PAL-DIAT2,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT2,0,2.0,1.52,1.54,X,,,,,,,,,,,,,,X,,X,,,,,,,
318-U1356A-15R-6-W 40/40-DIAT2,318,U1356,A,15,15-6,R,6,W,40/40-DIAT2,0,0.0,141.2,141.2,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-19R-CC-PAL-DIAT3,318,U1356,A,19,19-CC,R,CC,PAL,DIAT3,0,0.0,179.68,179.68,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-25R-CC-PAL-DIAT2,318,U1356,A,25,25-CC,R,CC,PAL,DIAT2,0,0.0,229.9,229.9,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-27R-CC-PAL-DIAT4,318,U1356,A,27,27-CC,R,CC,PAL,DIAT4,0,3.0,248.9,248.93,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-28R-CC-PAL-DIAT2,318,U1356,A,28,28-CC,R,CC,PAL,DIAT2,0,3.0,258.56,258.59,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-29R-CC-PAL-DIAT1,318,U1356,A,29,29-CC,R,CC,PAL,DIAT1,0,2.0,268.18,268.2,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-30R-CC-PAL-DIAT1,318,U1356,A,30,30-CC,R,CC,PAL,DIAT1,0,3.0,285.245,285.275,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-31R-CC-PAL-DIAT2,318,U1356,A,31,31-CC,R,CC,PAL,DIAT2,0,2.0,287.06,287.08,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-33R-CC-PAL-DIAT1,318,U1356,A,33,33-CC,R,CC,PAL,DIAT1,0,3.0,307.64,307.67,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-34R-2-W 55/55-DIAT1,318,U1356,A,34,34-2,R,2,W,55/55-DIAT1,0,0.0,317.95,317.95,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-35R-2-W 119/119-DIAT2,318,U1356,A,35,35-2,R,2,W,119/119-DIAT2,0,0.5,328.185,328.19,X,,,,,,,,,,,,,,,X,,,,,,,,
318-U1356A-35R-CC-PAL-DIAT1,318,U1356,A,35,35-CC,R,CC,PAL,DIAT1,0,0.0,331.44,331.44,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-48R-CC-PAL-DIAT1,318,U1356,A,48,48-CC,R,CC,PAL,DIAT1,0,0.0,453.98,453.98,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-51R-1-W 30/30-DIAT4,318,U1356,A,51,51-1,R,1,W,30/30-DIAT4,0,0.0,478.9,478.9,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-76R-5-A 89/89-SED,318,U1356,A,76,76-5,R,5,A,89/89-SED,0,0.0,724.455,724.455,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-76R-5-W 87/88-DIAT1 paly res,318,U1356,A,76,76-5,R,5,W,87/88-DIAT1 paly res,0,1.0,724.44,724.45,X,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-76R-CC-PAL-DIAT1 paly res,318,U1356,A,76,76-CC,R,CC,PAL,DIAT1 paly res,0,5.0,725.6,725.65,X,,,,,,,,,,,X,,,,,,,,,,,,
318-U1356A-101R-CC-PAL-DIAT2,318,U1356,A,101,101-CC,R,CC,PAL,DIAT2,0,0.0,951.92,951.92,X,,,,,,,,,,,,,,,,,,X,,,,,
