Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. A. actinochilus early form,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Bacteriostriata spp.,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Brightwellia sp.,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis crassa (closed copula),Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis katayamae,Denticulopsis lauta,Denticulopsos lauta s.l.,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis aff. Seminae = Neodenticula seminae,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Dispinodiscus sp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii/kerguelensis transtitional form,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2
318-U1359C-1H-1-W 130/130-DIAT49    ,318,U1359,C,1,1-1,H,1,W,130/130-DIAT49    ,0,0,1.3,1.3,F[318_Si],M[318_Si],G[318_Si],,,,,,X[318_Si],,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1359C-1H-1-W 40/40-DIAT,318,U1359,C,1,1-1,H,1,W,40/40-DIAT,0,0,0.4,0.4,C-A,M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,R[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,C[318_Si],,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,
318-U1359C-1H-3-W 130/130-DIAT55    ,318,U1359,C,1,1-3,H,3,W,130/130-DIAT55    ,0,0,4.3,4.3,F[318_Si],M[318_Si],G[318_Si],,,,,,X[318_Si],,,X[318_Si],R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359C-1H-5-W 10/10-DIAT,318,U1359,C,1,1-5,H,5,W,10/10-DIAT,0,0,6.1,6.1,C-A,M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,C-A,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,
318-U1359C-1H-5-W 80/80-DIAT60    ,318,U1359,C,1,1-5,H,5,W,80/80-DIAT60    ,0,0,6.8,6.8,,P[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359C-5H-1-W 35/35-DIAT1,318,U1359,C,5,5-1,H,1,W,35/35-DIAT1,0,0,36.05,36.05,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],R[318_Si],,,,,,,,,,R[318_Si],,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,X[318_Si],,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1359C-5H-1-W 35/35-DIAT4,318,U1359,C,5,5-1,H,1,W,35/35-DIAT4,0,0,36.05,36.05,C[318_Si],M[318_Si],M[318_Si],,,,,,R?,,,X[318_Si],R-F,,,,,,,,,,,X[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,R[318_Si],,,,,,,,,,,,F[318_Si],,,,R[318_Si],,,,,,,R-F,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,
318-U1359C-5H-2-W 140/140-DIAT4,318,U1359,C,5,5-2,H,2,W,140/140-DIAT4,0,0,38.6,38.6,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,X[318_Si],R[318_Si],,,,,,,X[318_Si],,,,R[318_Si],,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359C-5H-3-W 10/10-DIAT1,318,U1359,C,5,5-3,H,3,W,10/10-DIAT1,0,0,38.8,38.8,C[318_Si],M[318_Si],G[318_Si],,,,,,R-F,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,
318-U1359C-5H-3-W 10/10-DIAT3,318,U1359,C,5,5-3,H,3,W,10/10-DIAT3,0,0,38.8,38.8,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,R[318_Si],,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,
