Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Silicoflagellates group abundance,Silicoflagellate preservation dissolution,Silicoflagellate preservation fragmentation,Corbisema apiculata,Corbisema flexuosa,Corbisema hastata,Corbisema regina,Corbisema sp.,Corbisema triacantha,Dictyocha deflandrei,Dictyocha fibula,Dictyocha frenguellii,Dictyocha hexacantha,Dictyocha pentagona,Distephanus boliviensis (binoculoid),Distephanus crux group,Distephanus pseudofibulua,Distephanus speculum,Mesocena diadon diadon,Naviculopsis constricta,Naviculopsis foliacea,Paradictyocha sp.,Septamesocena apiculata,Septamesocena pappii,Silicoflagellate species,Zone name,Zone name (short)
318-U1360A-1R-1-W 17/17-DIAT2 int clast,318,U1360,A,1,1-1,R,1,W,17/17-DIAT2 int clast,0,0,0.17,0.17,X,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1360A-1R-1-W 9/9-DIAT1,318,U1360,A,1,1-1,R,1,W,9/9-DIAT1,0,0,0.09,0.09,X,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1360A-1R-CC-PAL-DIAT2,318,U1360,A,1,1-CC,R,CC,PAL,DIAT2,0,5,0.49,0.54,X,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1360A-3R-1-W 8/8-DIAT2,318,U1360,A,3,3-1,R,1,W,8/8-DIAT2,0,0,23.38,23.38,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
318-U1360A-3R-CC-PAL-DIAT2,318,U1360,A,3,3-CC,R,CC,PAL,DIAT2,0,0 ,23.735,23.735,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
