Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Zone name [short],PF Preservation,% Planktic Foraminifera within whole sample,Catapsydrax dissimilis,Catapsydrax cf. howei,Catapsydrax unicavus,Catapsydrax sp.,Dentoglobigerina galavasi,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina euapertura,Globigerina officinalis,Globigerina ouachitensis,Globigerina prasepis,Globigerina venezulana,Globorotalia praehumerosa,Globorotalia semivera,Globorotaloides suteri,Globoquadrina tapurensis,Globorotaloides quadrocameratus,Globoquadrina sp.,Paragloborotalia griffinoides,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia opima-mayeri transition,Paragloborotalia pseudocontinuosa,Parasubbotina griffinae,Parasubbotina inaquespira,Paragloborotalia sp.,Subbotina corpulenta,Subbotina angiporoides,Subbotina patagonica,Subbotina utilsindex,Subbotina yeguaensis,Subbotina sp.,Turborotalia ampliapertura,Turborotalia frontosa,Turbotalia,Globorotalia sp.
320-U1332A-1H-2-W 38/40,320,U1332,A,1,1-2,H,2,W,38/40,0,2.0,1.88,1.9,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-1H-CC-PAL-FORAMP,320,U1332,A,1,1-CC,H,CC,PAL,FORAMP,0,2.0,3.86,3.88,KME,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-2H-CC-PAL-FORAMP,320,U1332,A,2,2-CC,H,CC,PAL,FORAMP,0,2.0,13.62,13.64,KME,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-3H-5-W 47/49,320,U1332,A,3,3-5,H,5,W,47/49,0,2.0,19.87,19.89,LLR ,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-3H-7-W 75/77,320,U1332,A,3,3-7,H,7,W,75/77,0,2.0,23.15,23.17,LLR ,O6,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-3H-CC,320,U1332,A,3,3-CC,H,CC,,,0,2.0,23.22,23.24,,O3-Plio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-4H-3-W 40/42-FORAM,320,U1332,A,4,4-3,H,3,W,40/42-FORAM,0,2.0,26.3,26.32,KME ,E13-O6,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-4H-7-W 38/40-FORAM,320,U1332,A,4,4-7,H,7,W,38/40-FORAM,0,2.0,32.28,32.3,LLR +KME ,O6,M,,,,A,,,P,F,,,P,,,,F,,P,A,P,,,,P,,,,,,,,,,,,,,,,
320-U1332A-5H-2-W 100/101-FORAM,320,U1332,A,5,5-2,H,2,W,100/101-FORAM,0,1.0,34.9,34.91,LLR ,O2-O5,M,<5,,,A,,,,P,P,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,
320-U1332A-5H-5-W 28/29-FORAM,320,U1332,A,5,5-5,H,5,W,28/29-FORAM,0,1.0,38.68,38.69,LLR ,E13-L.Mio.,M,5,,,A,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
320-U1332A-6H-2-W 38/40,320,U1332,A,6,6-2,H,2,W,38/40,0,2.0,43.78,43.8,KME ,O2-O5,M,,,,F,,P,,R,,,,,,,R,,,P,,,,,F,P,,,,,,,,,,,,,,,
320-U1332A-6H-4-W 38/40-FORAMP,320,U1332,A,6,6-4,H,4,W,38/40-FORAMP,0,2.0,46.78,46.8,LLR,O2-O5,M,<5,,,D,,,,,,,,,,,,P,,,,,,,A,R,,,,,,P,,,,,,,,,
320-U1332A-7H-2-W 38/40-Foram,320,U1332,A,7,7-2,H,2,W,38/40-Foram,0,2.0,53.28,53.3,LLR ,E13-L.Mio.,M,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
