Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores
318-U1360A-1R-CC-PAL-PALY-PALYA,318,U1360,A,1,1-CC,R,CC,PAL,PALY-PALYA,0,0,0.49,0.49,F [Default],F [Default],B [Default],T [Default],B [Default]
318-U1360A-3R-1-W 7/9-PALY-PALYA,318,U1360,A,3,3-1,R,1,W,7/9-PALY-PALYA,0,0,23.37,23.37,F [Default],T [Default],B [Default],B [Default],B [Default]
318-U1360A-3R-CC-PAL-PALY-PALYA,318,U1360,A,3,3-CC,R,CC,PAL,PALY-PALYA,0,0,23.735,23.735,F [Default],T [Default],B [Default],B [Default],B [Default]
318-U1360A-4R-CC-PAL-PALY-PALYA,318,U1360,A,4,4-CC,R,CC,PAL,PALY-PALYA,0,0,35.32,35.32,F [Default],F [Default],B [Default],B [Default],B [Default]
318-U1360A-6R-1-PAL81     -PALY-PALYA,318,U1360,A,6,6-1,R,1,PAL81,PALY-PALYA,0,0,51.51,51.51,T [Default],T [Default],B [Default],T [Default],B [Default]
318-U1360A-6R-CC-PAL-PALY-PALYA,318,U1360,A,6,6-CC,R,CC,PAL,PALY-PALYA,0,0,53.75,53.75,T [Default],T [Default],T [Default],B [Default],B [Default]
