Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1333B-9H-CC-PAL-RADS,320,U1333,B,9,9-CC,H,CC,PAL,RADS,0,0,83.13,83.13,RP20,C,M,,R,R,,,,R,,,R,R,-,-,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-10H-CC-PAL-RADS,320,U1333,B,10,10-CC,H,CC,PAL,RADS,0,0,93.43,93.43,RP20,C,M,,,,,,,,,,,,C,R,R,R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333B-11H-CC-PAL-RADS,320,U1333,B,11,11-CC,H,CC,PAL,RADS,0,0,103.25,103.25,RP20,C,M,,,,,,,,,,,,C,R,R,R,,,,,,,,R,,,,vR,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333B-12H-CC-PAL-RADS,320,U1333,B,12,12-CC,H,CC,PAL,RADS,0,0,112.31,112.31,RP20,C,M,,,,,,,,,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333B-13H-CC-PAL-RADS,320,U1333,B,13,13-CC,H,CC,PAL,RADS,0,0,122.14,122.14,RP18,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,,R,,R,,,,,R,,,R,,,,,,,,,,,,,-,,,,
320-U1333B-14H-CC-PAL-RADS,320,U1333,B,14,14-CC,H,CC,PAL,RADS,0,0,131.43,131.43,RP17,A,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,,,R,,,,,R,R,,,R,,,R,,R,R,R,,,,R,R,,F,R,,
320-U1333B-15H-CC-PAL-RADS,320,U1333,B,15,15-CC,H,CC,PAL,RADS,0,0,139.77,139.77,RP16,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-16H-CC-RADS,320,U1333,B,16,16-CC,H,CC,RADS,,0,0,149.77,149.77,RP15,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-17H-CC-PAL-RADS,320,U1333,B,17,17-CC,H,CC,PAL,RADS,0,0,158.53,158.53,RP14,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-18H-CC-PAL-RADS,320,U1333,B,18,18-CC,H,CC,PAL,RADS,0,0,162.94,162.94,RP14,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-19X-CC-PAL-RADS,320,U1333,B,19,19-CC,X,CC,PAL,RADS,0,0,169.82,169.82,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333B-20X-CC-PAL-RADS,320,U1333,B,20,20-CC,X,CC,PAL,RADS,0,0,178.33,178.33,-,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
