Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Buryella clinata,Phormocyrtis striata striata,Amphicraspedum murrayanum,Dendrospyris fragoides,Dictyophimus craticula,Dictyoprora mongolfieri,Diploplegma somphum,Giraffospyris lata,Lamptonium pennatum,Lamptonium sanfilippoae,Zealithapium plegmacantha,Lithochytris archaea,Lithochytris vespertilio,Lithocyclia ocellus gr.,Lophocyrtis biaurita,Lychnocanoma auxilla,Phormocyrtis cubensis,Phormocyrtis striata exquisita,Podocyrtis sinuosa,Podocyrtis diamesa,Pterocodon tenellus,Spongatractus pachystylus,Theocotyle nigriniae,Theocotyle venezuelensis,Theocotylissa alpha,Theocotylissa fimbria,Thyrsocyrtis rhizodon,Buryella tetradica s.s.,Lychnocanoma pileus,Spongatractus balbis,Thyrsocyrtis tensa,Pterocodon anteclinata,Lychnocanoma babylonis,Theocotylissa ficus,Anthocyrtoma spp.,Phormocyrtis turgida,Pterocodon ampla,Comments,File data
320-U1331C-16H-2-W,320,U1331,C,16,16-2,H,2,W,,0,0.015,178.5,178.5,A,G,,,R,,,,,R,R,R,vR,R,R,,R,,,,,,,R,,R,,,,,,R,,R,,,R,,,,,,,R,R,,R,F,R,,,Dictyospyris melissium present = e. eocene?,,
320-U1331C-16H-4-W,320,U1331,C,16,16-4,H,4,W,,0,0.015,181.5,181.5,A,G,,,R,R,,,,R,R,R,vR,R,R,,R,,,,,,,R,,R,,,,,,R,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-16H-5-W,320,U1331,C,16,16-5,H,5,W,,0,0.015,183,183,A,G,,,R,R,,,,R,R,R,,,R,,R,,,,,,,R,,R,,,,,,R,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-16H-CC-PAL-RADS,320,U1331,C,16,16-CC,H,CC,PAL,RADS,0,0 ,185.32,185.32,A,G,,,R,R,,,,R,R,R,,R,R,vR,,,,,,,,R,,R,,,,,,F,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-17H-1-W,320,U1331,C,17,17-1,H,1,W,,0,0.015,184,184,A,G,,,R,R,,,,R,,,,R,R,vR,,,,,,R,,R,,R,,,,,,R,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-17H-1-W,320,U1331,C,17,17-1,H,1,W,,0,0.015,184,184,C,M,,,R,R,,,,R,R,,,R,R,vR,,,,,,R,,R,,R,,,,,,,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-17H-2-W,320,U1331,C,17,17-2,H,2,W,,0,0.015,185.5,185.5,A,G,,,R,R,,,,R,R,,,R,R,vR,,,,,,R,,,,R,,,,,,F,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
320-U1331C-17H-2-W,320,U1331,C,17,17-2,H,2,W,,0,0.015,185.5,185.5,A,G,,,R,R,,,,R,R,,,R,R,,,,,,,R,,,,R,,,,,,R,,R,,,R,,,,,,,R,R,,R,F,R,,,,,
