Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus
320-U1335B-1H-CC-PAL-NANNO,320,U1335,B,1,1-CC,H,CC,PAL,NANNO,0,0,3.43,3.43,PB - lacunosa,NN19,Pleistocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,
320-U1335B-2H-CC-PAL-NANNO,320,U1335,B,2,2-CC,H,CC,PAL,NANNO,0,0,13.02,13.02,PB - brouweri,NN18,Pliocene,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-3H-CC-PAL-NANNO,320,U1335,B,3,3-CC,H,CC,PAL,NANNO,0,0,22.66,22.66,"PB - pseudoumb., cristatus",NN13-15,Pliocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,C,,,F,F,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,C,,
320-U1335B-4H-CC-PAL-NANNO,320,U1335,B,4,4-CC,H,CC,PAL,NANNO,0,0,31.93,31.93,TDJ - amplificus present,NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,R,F,R,,,R,,C,,,,F,,C,,,,,,,,,,,,,C,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-5H-CC-PAL-NANNO,320,U1335,B,5,5-CC,H,CC,PAL,NANNO,0,0,41.86,41.86,TDJ - no amaurolitus,NN11,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,R,,R,R,,R,,,,,C,,,R,,R,C,,,,,,,,,,,,,C,,F,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,
320-U1335B-6H-CC-PAL-NANNO,320,U1335,B,6,6-CC,H,CC,PAL,NANNO,0,0,51.05,51.05,"TDJ - no bergrenni, one catinaster reworked? No hamatus",NN10,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,,F,,,,,,,,C,,,,,,R,R,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,,,,,,,,,,,,,F,,
320-U1335B-7H-CC-PAL-NANNO,320,U1335,B,7,7-CC,H,CC,PAL,NANNO,0,0,60.92,60.92,"TDJ - no bergrenni, no hamatus, no catinaster, poor preservation, etched",NN10,late Miocene,P [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335B-8H-CC-PAL-NANNO,320,U1335,B,8,8-CC,H,CC,PAL,NANNO,0,0,70.03,70.03,"TDJ - miopelagicus, no kugleri",NN7,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,
320-U1335B-9H-CC-PAL-NANNO,320,U1335,B,9,9-CC,H,CC,PAL,NANNO,0,0,79.94,79.94,"TDJ - no coronocyclus, no kugleri",NN7,middle Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,
320-U1335B-10H-CC-PAL-NANNO,320,U1335,B,10,10-CC,H,CC,PAL,NANNO,0,0,89.04,89.04,"TDJ - coronocyclus, no premacintyrei",NN6,middle Miocene,M [320_N],A [320_Ng],,,,,,,,F,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,
