Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Ebridian group abundance,Ebridian preservation dissolution,Ebridian preservation fragmentation,Ammodochium rectangulare,Ebridulina paradoxa,Micromarsupium anceps,Micromarsupium curticannum,Pseudammodochium dictyoides,Pseudammodochium lingii,Pseudammodochium sphericum,Zone name,Zone name (short)
318-U1356A-1R-2-W 2/4-PAL-DIAT2,318,U1356,A,1,1-2,R,2,W,2/4-PAL-DIAT2,0,2,1.52,1.54,X[318_Si],,,,,,,,,X,,
318-U1356A-3R-CC-PAL-DIAT1,318,U1356,A,3,3-CC,R,CC,PAL,DIAT1,0,5,19.75,19.8,X[318_Si],,,,,,,,,,,
318-U1356A-15R-5-W 48/48-DIAT,318,U1356,A,15,15-5,R,5,W,48/48-DIAT,0,0,140.275,140.275,X[318_Si],,,,,,,,,,,
318-U1356A-19R-CC-PAL-DIAT3,318,U1356,A,19,19-CC,R,CC,PAL,DIAT3,0,0,179.68,179.68,X[318_Si],,,,,,,,,,,
318-U1356A-26R-CC-PAL-DIAT2,318,U1356,A,26,26-CC,R,CC,PAL,DIAT2,0,5,239.955,240.005,F[318_Si],,,,,,,,,,,
318-U1356A-27R-CC-PAL-DIAT4,318,U1356,A,27,27-CC,R,CC,PAL,DIAT4,0,3,248.9,248.93,F[318_Si],,,,,,,,X,,,
318-U1356A-29R-CC-PAL-DIAT1,318,U1356,A,29,29-CC,R,CC,PAL,DIAT1,0,2,268.18,268.2,X[318_Si],,,,,,,,X,,,
318-U1356A-30R-CC-PAL-DIAT1,318,U1356,A,30,30-CC,R,CC,PAL,DIAT1,0,3,285.245,285.275,X[318_Si],,,,,,,,,X,,
318-U1356A-31R-CC-PAL-DIAT2,318,U1356,A,31,31-CC,R,CC,PAL,DIAT2,0,2,287.06,287.08,X[318_Si],,,,,,,,,X,,
318-U1356A-34R-2-W 55/55-DIAT1,318,U1356,A,34,34-2,R,2,W,55/55-DIAT1,0,0,317.95,317.95,F[318_Si],,,,,,,,X,F,,
318-U1356A-35R-2-W 119/119-DIAT2,318,U1356,A,35,35-2,R,2,W,119/119-DIAT2,0,0.5,328.185,328.19,X[318_Si],,,,,,,,,X,,
318-U1356A-35R-CC-PAL-DIAT1,318,U1356,A,35,35-CC,R,CC,PAL,DIAT1,0,0,331.44,331.44,X[318_Si],,,,,,,,,,,
318-U1356A-37R-CC-PAL-DIAT3,318,U1356,A,37,37-CC,R,CC,PAL,DIAT3,0,0,344.8,344.8,X[318_Si],,,,,,,,,,,
318-U1356A-39R-1-W 85/85-DIAT4,318,U1356,A,39,39-1,R,1,W,85/85-DIAT4,0,0,364.445,364.445,F[318_Si],,,,,,,,,,,
318-U1356A-41R-CC-PAL-DIAT4,318,U1356,A,41,41-CC,R,CC,PAL,DIAT4,0,0,386.95,386.95,X[318_Si],,,,,,,,X,,,
318-U1356A-76R-5-W 87/88-DIAT1 paly res,318,U1356,A,76,76-5,R,5,W,87/88-DIAT1 paly res,0,1,724.44,724.45,X[318_Si],,,X,,,,,,,,
318-U1356A-76R-CC-PAL-DIAT1 paly res,318,U1356,A,76,76-CC,R,CC,PAL,DIAT1 paly res,0,5,725.6,725.65,X[318_Si],,,,X,,,,,,,
318-U1356A-88R-CC-PAL-DIAT1,318,U1356,A,88,88-CC,R,CC,PAL,DIAT1,0,2,836.06,836.08,X[318_Si],,,,X,,,,,,,
318-U1356A-89R-CC-PAL-DIAT 1,318,U1356,A,89,89-CC,R,CC,PAL,DIAT 1,0,1,849.41,849.42,,,,X,,,,,,,,
