Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data
320-U1335A-1H-2-W,320,U1335,A,1,1-2,H,2,W,,103,105,2.53,2.55,RN14,A,G,2,,,,,,,vR,F,R,,,,R,,,,,,,R,,R,R,,,,,,R,vR,,,,,,,,,,,,,,,,,,COMMON DIATOMS,
320-U1335A-1H-4-W,320,U1335,A,1,1-4,H,4,W,,103,105,5.53,5.55,RN14,A,G,2,,,,,R,,,,,,,,R,,,,,,,R,,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,COMMON DIATOMS,
320-U1335A-1H-CC-PAL-RADS,320,U1335,A,1,1-CC,H,CC,PAL,RADS,0,0,8.81,8.81,RN13,A,G,3,,,R,R,,,R,R,,,,,R,vR,,vR,,,,R,,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,
320-U1335A-2H-2-W 38/40,320,U1335,A,2,2-2,H,2,W,38/40,38,40,11.16,11.18,RN12,C,M,2,,,,,,R,,,,F,,,R,,R,,,,,R,,R,R,,,,,,R,,,,,,,,,,,R,,vR,,,,,,,
320-U1335A-2H-4-W 38/40,320,U1335,A,2,2-4,H,4,W,38/40,38,40,14.16,14.18,RN12,C,M,2,,,vR,,,R,,,,F,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,
320-U1335A-2H-CC-PAL-RADS,320,U1335,A,2,2-CC,H,CC,PAL,RADS,0,0,18.85,18.85,RN11,A,G,3,,,,,,R,,,,R,R,R,,C,,vR,,,,,vR,R,R,,,,,,R,,,,,,,vR,,,,,,,,,,,,,
320-U1335A-3H-2-W 105/107,320,U1335,A,3,3-2,H,2,W,105/107,105,107,22,22.02,RN10,C,M,3,,,,,,,,,,R,R,,,C,,,,R,R,,R,,R,,,,vR,R,R,R,,,,R,,R,,,R,,,,,,,,,,
320-U1335A-3H-CC-PAL-RADS,320,U1335,A,3,3-CC,H,CC,PAL,RADS,0,0,28.13,28.13,RN9,A,G,2,,,,,,R,,,,,R,R,,C,,vR,,R,R,,R,,R,R,,,,,R,,,,,,,,,,R,,,,,,,,,DIATOMS,
320-U1335A-4H-2-W 100/102,320,U1335,A,4,4-2,H,2,W,100/102,100,102,31.4,31.42,RN9,C,M,2,,,,,,R,,,,,R,,,F,,R,R,R,R,,F,,,F,R,,vR,,,F,,,,,,,,,,,vR,,vR,,,,,DIATOMS,
320-U1335A-4H-4-W,320,U1335,A,4,4-4,H,4,W,,100,102,33.4,33.42,RN9,A,G,1,,,,,,R,,,,,R,,,F,,vR,R,R,vR,,F,,,F,,,vR,,,F,,,,,,,,,R,,vR,,vR,,,,,DIATOMS,
320-U1335A-4H-CC-PAL-RADS,320,U1335,A,4,4-CC,H,CC,PAL,RADS,0,0,37.8,37.8,RN9,A,G,,,,,,,R,,,,,R,,,F,,,R,,vR,,R,,,R,R,,R,R,,F,R,,R,,,,,,,,,,,,,,,COMMON DIATOMS,
