Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,Zone name
320-U1334A-16H-4-W 104/106,320,U1334,A,16,16-4,H,4,W,104/106,104,106,147.78,147.8,,,,1,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-16H-CC-PAL-RADS,320,U1334,A,16,16-CC,H,CC,PAL,RADS,0,0,149.57,149.57,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-17H-2-W 105/107,320,U1334,A,17,17-2,H,2,W,105/107,105,107,154.3,154.32,RP21,F,M,,,,,R,R,,,,R,vR,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,R,,,,,
320-U1334A-17H-4-W 105/107,320,U1334,A,17,17-4,H,4,W,105/107,105,107,157.3,157.32,RP21,F,P,,,,,R,R,,,,R,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,R,,,,,
320-U1334A-17H-CC-PAL-RADS,320,U1334,A,17,17-CC,H,CC,PAL,RADS,0,0,158.96,158.96,,C,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-18H-2-W 105/107,320,U1334,A,18,18-2,H,2,W,105/107,105,107,163.8,163.82,RP21,C,M,2,,,R,R,R,vR,,,R,,vR,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
320-U1334A-18H-4-W 105/107,320,U1334,A,18,18-4,H,4,W,105/107,105,107,166.8,166.82,RP21,F,P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,
320-U1334A-18H-CC-PAL-RADS,320,U1334,A,18,18-CC,H,CC,PAL,RADS,0,0,170.17,170.17,,,,,-,,,,,-,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
320-U1334A-19H-2-W,320,U1334,A,19,19-2,H,2,W,,105,107,172.17,172.19,RP21?,C,P,2,R,R,-,R,-,,,,R,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-19H-4-W,320,U1334,A,19,19-4,H,4,W,,105,107,175.17,175.19,RP21?,F,P,2,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
320-U1334A-19H-CC-PAL-RADS,320,U1334,A,19,19-CC,H,CC,PAL,RADS,0,0,178.49,178.49,RP21,A,G,,R,,R,R,R,R,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-20H-2-W,320,U1334,A,20,20-2,H,2,W,,105,107,181.75,181.77,RP21?,F,P,2,R,R,,,,R,,,R,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,
320-U1334A-20H-4-W,320,U1334,A,20,20-4,H,4,W,,105,107,184.75,184.77,RP21?,F,P,2,R,R,,,,R,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-20H-CC-PAL-RADS,320,U1334,A,20,20-CC,H,CC,PAL,RADS,0,0,188.63,188.63,RP21,F,M,1,R,R,R,R,R,R,R,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-21H-2-W,320,U1334,A,21,21-2,H,2,W,,105,107,191.25,191.27,RP20,F,P,1,,R,,R,,R,,,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-21H-4-W,320,U1334,A,21,21-4,H,4,W,,105,107,194.25,194.27,RP20,C,P,1,,R,,R,,R,,,R,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334A-21H-CC-PAL-RADS,320,U1334,A,21,21-CC,H,CC,PAL,RADS,0,0,198.48,198.48,RP20,F,P,,R,R,,,,R,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,ABUND SPINES,,
320-U1334A-22H-2-W 105/107,320,U1334,A,22,22-2,H,2,W,105/107,105,107,201.8,201.82,RP20,F,P,,,R,,,,-,,,,-,-,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
