Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data
375-U1519C-2R-CC-PAL-FORAM,0,5,111.69,111.74,VG,A,,,,,A,,,F,,,R,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,4,0,,,C,1,18,,,,,,,,,,,,,
375-U1519C-3R-CC-PAL-FORAM,0,5,116.08,116.13,VG,D,,,,,A,,,F,,,R,,,,F,,,,R,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,5,4,,,F,0,17,,F,,,,,,,,,,,
375-U1519C-4R-CC-PAL-FORAM,0,10,131.1,131.2,VG,D,,,,,C,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,0,1,,,C,0,24,,,,,,,,,,,,,
375-U1519C-5R-CC-PAL-FORAM,0,5,135.93,135.98,VG,D,,,,,A,,,R,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,1,14,,F,,,,,,,,,,,
375-U1519C-6R-CC-PAL-FORAM,0,5,144.3,144.35,VG,D,,,,,A,,,F,,,,,,,F,,,,R,,R,,,,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,R,,,(R),,,,,,,,,,,,,,F,2,10,,,,,,,,,,R,,,,,,C,0,37,,F,,,,,,,,,,,
375-U1519C-9R-CC-PAL-FORAM,0,10,256.76,256.86,VG-G,D,,,,,A,,,,,,F,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,0,7,,F,,,,,,,,(X),,,
375-U1519C-10R-CC-PAL-FORAM,0,10,267.12,267.22,VG-M,A,,,,,A,,,R,,,,,,,F,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,0,8,,,F,,,,F,,,,,,,,,,,
375-U1519C-11R-CC-PAL-FORAM,0,10,272.46,272.56,VG-M,A,,,,,C,,,F,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,0,3,,,F,0,11,,R,,,,,,,,(R),,,
375-U1519C-12R-CC-PAL-FORAM,0,10,284.7,284.8,VG-M,R,,,,,A,,,,,,,,,,,,,,,F,,,,,,,,A,(R),,,,(R),,,,,,,,,,,,,,,,,,,,,,(R),,,,,,,,A,,,,F,,,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0,28,,F,,,,,,,,(R),,,
375-U1519C-14R-CC-PAL-FORAM,0,15,522.39,522.54,G,C,,,,,C,,,,,,R,,,,,,,,,F,,,,,R,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,C,,,R,F,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,C,28,0,,,,,,,,,,R,,,
375-U1519C-15R-CC-PAL-FORAM,0,9,536.32,536.41,G-M,C,,,,,F,,,R,,,R,,,,F,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,,,,,,C,,,,,,,,,R,1,0,,,,,,,F,12,0,,,,,,,,,,,,,
375-U1519C-16R-CC-PAL-FORAM,0,11,546.86,546.97,G,F,,,,,F,,,F,,,R,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,1,4,,,,,,,,,,,,,
375-U1519C-17R-CC-PAL-FORAM,0,10,553.37,553.47,G,F,,,,,A,,,F,,,,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,
375-U1519C-18R-CC-PAL-FORAM,0,10,565.93,566.03,G,C,,,,,A,,,C,,,,,,,F,,,,,F,F,,,,,,,A,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,0,3,,,,,,,,,,R,,,
375-U1519C-19R-CC-PAL-FORAM,0,10,574.93,575.03,G-M,C,,,,,C,,,F,,,,,,,R,,,,,F,,,,,,,,C,(R),,,,,,,,,,,,,(R),,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,2,0,,,,,,,,,,,,,
375-U1519C-20R-CC-PAL-FORAM,0,10,580.38,580.48,G,C,,,,,A,,,F,,,R,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,A,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,1,1,,,,,,,,,,,,,
375-U1519C-21R-CC-PAL-FORAM,0,12,591.56,591.68,G,R,,,,,F,,,R,,F,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,R,,,,,R,2,0,,,,,,,,,,,,,
375-U1519C-22R-CC-PAL-FORAM,0,10,602.98,603.08,G-M,A,,,,,A,,,F,,,,,,,R,,,,,F,,,,,,,,A,(F),,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,C,,,,F,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,9,0,,F,,,,,(R),,,R,,,
375-U1519C-24R-CC-PAL-FORAM,0,5,618.8,618.85,G,D,,,,,A,,,F,,,R,,,,F,,,,,C,C,,,,,,,A,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,R,,,,,X,,A,,,,F,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,0,3,,R,,,,,,,,R,,,
375-U1519C-26R-CC-PAL-FORAM,0,5,635.6,635.65,G-P,R,,,,,C,,,R,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,F,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,(R),,,,,,,,,R,1,0,,R,,,,,,,R,,,,
