Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Saccate pollen,Nothofagus pollen,other pollen,spores,fungal spores,Zone name,Zone name (short)
318-U1357A-3H-1-PAL-PALY-PALYA,318,U1357,A,3,3-1,H,1,PAL,PALY-PALYA,0,0,17.1,17.1,B,B,B,B,,,
318-U1357A-10H-PALY-PALYA,318,U1357,A,10,10-PALY,H,PALY,PALYA,,0,0,83.6,83.6,B,B,B,B,,,
318-U1357A-20H-4-PAL-PALY-PALY,318,U1357,A,20,20-4,H,4,PAL,PALY-PALY,0,0,184.25,184.25,B,B,B,B,,,
