Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1488A-1H-2-W 80/80-NANNO,0,0,2.3,2.3,,"AGSF - Gephyrocapsa 4-5 um common in sample (some identified as G. parallela, most are G oceanica); no lacunosa/ovata observed; Gephyrocapsa 4-5 um more common than 3-4 um",G [P33],A [A22],A [A23],F [A30],x [A115],C [A04],F [A30],x [A115],,,,,,,,,,,C [A04],,F [A30],,,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,2,W,80/80-NANNO
363-U1488A-1H-CC-PAL-NANNO,0,5,5.83,5.88,NN20 [M71],LB; AGSF - E. huxleyi and P lacunosa/ovata not observed,G [P33],D [A22],V [A94],x [A115],A [A23],A [A23],C [A04],x [A115],x [A115],,,,,,,,,,,,,,,F [A30],F [A30],F [A30],P [A30],,,,,,,F [A30],,,,,,P [A30],,,,C [A04],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,1,H,CC,PAL,NANNO
363-U1488A-2H-2-W 80/80-NANNO,0,0,8.2,8.2,,AGSF - 3-4 um Gephyrocapsa very abundant,G [P33],A [A22],A [A23],x [A115],C [A04],A [A23],C [A04],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,2,H,2,W,80/80-NANNO
363-U1488A-2H-4-W 80/80-NANNO,0,0,11.2,11.2,,"AGSF - reworked taxa: R. pseudoumbilicus, D brouweri; Gephyrocapsa 3-4 um common to abundant",G [P33],A [A22],V [A94],x [A115],C [A04],C [A04],C [A04],x [A115],x [A115],,,,,,,,,,C [A04],,C [A04],,,,R [A30],,,,,,,,,,,,,,,,,F [A30],,,R [A30],P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,2,H,4,W,80/80-NANNO
363-U1488A-2H-6-W 10/10-NANNO,0,0,13.5,13.5,,AGSF - G caribbeanica more common than G oceanica; 3-4 and 4-5 um Gephyrocapsa few to common,G [P33],A [A22],A [A23],x [A115],F [A30],C [A04],C [A04],C [A04],F [A30],,,,,,,,,,C [A04],,C [A04],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,2,H,6,W,10/10-NANNO
363-U1488A-2H-CC-PAL-NANNO,0,5,15.78,15.83,NN19 [M71],LB,G [P33],D [A22],V [A94],,C [A04],F [A30],V [A94],F [A30],,,,,,,,,,,C [A04],,C [A04],,,p [A30],,F [A30],F [A30],,,,,,,,,,,,,,,,,C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,2,H,CC,PAL,NANNO
363-U1488A-3H-2-W 80/80-NANNO,0,0,17.7,17.7,,AGSF - assemblage dominated by gephyrocapsids; some forms identical to G. parallela; C macintyrei present but very poorly preserved and therefore could be reworked; NOTE: Gephyrocapsa >5.5 um present -3 (poorly preserved),,,,,A [A23],A [A23],A [A23],F [A30],F [A30],,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,3,H,2,W,80/80-NANNO
363-U1488A-3H-4-W 80/80-NANNO,0,0,20.7,20.7,,"AGSF - back to dominance of P lacunosa; Gephyrocapsa still common, esp 3-4 um; with rare reworked Cretaceous form (Gartnerago)",,,,,A [A23],C [A04],C [A04],A [A23],A [A23],,,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,3,H,4,W,80/80-NANNO
363-U1488A-3H-6-W 10/10-NANNO,0,0,23,23,,AGSF - gephyrocapsa coccospheres present; reworked Discoaster; good asanoi specimens,,,,,,,,A [A23],A [A23],F [A30],,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,3,H,6,W,10/10-NANNO
363-U1488A-3H-CC-PAL-NANNO,0,5,25.25,25.3,NN19 [M71],LB,G [P33],D [A22],V [A94],,V [A94],x [A115],C [A04],F [A30],V [A94],F [A30],,,,,,,,,C [A04],,,C [A04],,P [A30],,,,,,,,,,,,,,,,,,,F [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,3,H,CC,PAL,NANNO
