Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus ,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri ,Lychnocanoma apodora,Comments,File data
320-U1334C-1H-CC-PAL-RADS,320,U1334,C,1,1-CC,H,CC,PAL,RADS,0,0,9.78,9.78,,F,P,3,,,,,,,,,,,,vR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334C-2H-CC-PAL-RADS,320,U1334,C,2,2-CC,H,CC,PAL,RADS,0,0,18.67,18.67,RN5,C,M,3,,-,vR,,-,vR,,-,,-,,vR,-,,,,,,R,,vR,,,,R,,,R,R,,,,,,,,F,F,,R,R,,,,,,,,,,,,
320-U1334C-3H-CC-PAL-RADS,320,U1334,C,3,3-CC,H,CC,PAL,RADS,0,0,28.07,28.07,RN4,A,M,2,,,,,,R,,,,R,R,R,R,R,,R,R,,-,R,R,R,,,,,,F,R,,,,,,R,,F,F,,R,R,,,,,,,,,,,,
320-U1334C-4H-CC-PAL-RADS,320,U1334,C,4,4-CC,H,CC,PAL,RADS,0,0,38.28,38.28,RN3,A,M,,,,,F,,-,,,,R,vR?,-,R,R,,-,R,,,R,R,R,,,,,-,R,R,,,,,,R,,F,F,,R,R,,,,,,,,,,,,
320-U1334C-5H-CC-PAL-RADS,320,U1334,C,5,5-CC,H,CC,PAL,RADS,0,0,48,48,RN2,A,M,,,,,F,,,,,,R,,,R,vR,,,-,,,R,R,R,,,,,vR,-,,,,,,,R,,F,F,,R,R,,,,,,,,,,,,
320-U1334C-6H-CC-PAL-RADS,320,U1334,C,6,6-CC,H,CC,PAL,RADS,0,0,57.25,57.25,RN2,A,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,vR,,,R?,,,-,-,R,,F,F,,R,R,,,,,,,,,,,,
320-U1334C-7H-CC-PAL-RADS,320,U1334,C,7,7-CC,H,CC,PAL,RADS,0,0,66.61,66.61,RN1,A,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,-,,F,R,,R,R,,,,,,,,,,,,
320-U1334C-8H-CC-PAL-RADS,320,U1334,C,8,8-CC,H,CC,PAL,RADS,0,0,76.33,76.33,RN1,A,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,R,,-,F,R,,R,R,,,,,,,,,,,,
320-U1334C-9H-CC-PAL-RADS,320,U1334,C,9,9-CC,H,CC,PAL,RADS,0,0,85.79,85.79,RP22,A,M,,,,,C,,,,,,R,,,,,R,,,,,vR,F,R,,,,R,R,,,R,,,R,F,,R,-,-,R,R,R,,R,,,,,,,,,,
320-U1334C-10H-CC-PAL-RADS,320,U1334,C,10,10-CC,H,CC,PAL,RADS,0,0,95.14,95.14,RP22,C,M,,,,,C,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,F,,R,,,R,,,R,R,,,,,,,,,,
320-U1334C-11H-CC-PAL-RADS,320,U1334,C,11,11-CC,H,CC,PAL,RADS,0,0,104.59,104.59,RP22,C,M,,,,,C,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,F,,R,,,R,,,,,,R,,,,,,,,
320-U1334C-12H-CC-PAL-RADS,320,U1334,C,12,12-CC,H,CC,PAL,RADS,0,0,114.25,114.25,RP22,C,M,,,,,F,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,,R,,
320-U1334C-13H-CC-PAL-RADS,320,U1334,C,13,13-CC,H,CC,PAL,RADS,0,0,123.72,123.72,RP21,C,M,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,R,F,,R,,,R,,,,,,R,R,,R,,,R,,
320-U1334C-14H-CC-PAL-RADS,320,U1334,C,14,14-CC,H,CC,PAL,RADS,0,0,133,133,RP21,C,M,,,,,-,,,,,,,,,,,,,,,,,,R,,,,-,R,,,-,,,R,F,,R,,,R,,,,,,,,,-,,,-,,
320-U1334C-15H-CC-PAL-RADS,320,U1334,C,15,15-CC,H,CC,PAL,RADS,0,0,142.39,142.39,RP21,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,,R,,,,,,,,,R,,,,,
320-U1334C-16H-CC-PAL-RADS,320,U1334,C,16,16-CC,H,CC,PAL,RADS,0,0,151.89,151.89,RP21,C,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,,R,,,,,,,,,R,,,,,
