Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1331C-1H-CC,320,U1331,C,1,1-CC,H,CC,,,0,0,9.35,9.35,,C,M,3,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,R,,
320-U1331C-2H-CC,320,U1331,C,2,2-CC,H,CC,,,0,0,19.29,19.29,,,,,,,,,,,,,,,,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,
320-U1331C-2H-CC-PAL-RADS,320,U1331,C,2,2-CC,H,CC,PAL,RADS,0,0,19.5,19.5,RP20,A,M,3,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331C-3H-CC,320,U1331,C,3,3-CC,H,CC,,,0,0,28.59,28.59,,A,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,C,R,R,,R,,R,R,,R,R,R,,,,,R,,,,,,,,,,,SPINOS OMBROS,
320-U1331C-3H-CC-PAL-RADS,320,U1331,C,3,3-CC,H,CC,PAL,RADS,0,0,28.73,28.73,RP19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,SPINOS OMBROS,
320-U1331C-4H-CC,320,U1331,C,4,4-CC,H,CC,,,0,0,38.33,38.33,,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,,R,,,R,,R,R,R,R,F,,F,,R,R,,R,,,,R,R,,,R,,
320-U1331C-4H-CC-PAL-RADS,320,U1331,C,4,4-CC,H,CC,PAL,RADS,0,0,38.47,38.47,RP18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,R,,,,,,,,,,,
