Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
375-U1518F-2R-CC-PAL-FORAM,0,10,199.8,199.9,VG,D,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,2,R,CC,PAL,FORAM
375-U1518F-3R-CC-PAL-FORAM,0,10,212.49,212.59,VG,D,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,3,R,CC,PAL,FORAM
375-U1518F-4R-CC-PAL-FORAM,0,10,219.21,219.31,VG (M),A,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,4,R,CC,PAL,FORAM
375-U1518F-5R-CC-PAL-FORAM,0,10,229.91,230.01,VG,A,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,5,R,CC,PAL,FORAM
375-U1518F-6R-CC-PAL-FORAM,0,13,239.08,239.21,VG,D,,,,,,,X,,,,,,,,F,,,,,,,,375,U1518,F,6,R,CC,PAL,FORAM
375-U1518F-7R-3-PAL(81-91)-FORAM,0,10,248.77,248.87,VG,C,,,,,,,,,,,,,F,,F,,,,,,,,375,U1518,F,7,R,3,PAL(81-91),FORAM
375-U1518F-8R-CC-PAL-FORAM,0,5,258.89,258.94,VG,D,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,8,R,CC,PAL,FORAM
375-U1518F-9R-5-PAL-FORAM,0,10,270.17,270.27,VG,D,,,,,,,,,,,,,,,R,,,,,,,,375,U1518,F,9,R,5,PAL,FORAM
375-U1518F-10R-CC-PAL-FORAM,0,15,277.53,277.68,VG,D,,,,,,X,,,,,,,,,,,,,,,,,375,U1518,F,10,R,CC,PAL,FORAM
375-U1518F-11R-CC-PAL-FORAM,0,10,286.63,286.73,VG,F,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,FORAM
375-U1518F-12R-CC-PAL-FORAM,0,10,296.9,297,VG,D,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,12,R,CC,PAL,FORAM
375-U1518F-13R-CC-PAL-FORAM,0,11,306.95,307.06,VG,C,,,,,,X,,,,,,,,,X,,,,,,,,375,U1518,F,13,R,CC,PAL,FORAM
375-U1518F-14R-1-W 129/133-PAL-FORAM,0,4,314.09,314.13,VG,C,,,,,,,,,,,,,R,,,,,,,,,,375,U1518,F,14,R,1,W,129/133-PAL-FORAM
375-U1518F-14R-CC-PAL-FORAM,0,10,315.23,315.33,VG,F,,,,,,,,,,,,,X,,F,,,,,,,,375,U1518,F,14,R,CC,PAL,FORAM
375-U1518F-15R-CC-PAL-FORAM,0,9,325.8,325.89,VG,C,,,,,,X,,,,,,,,,,,,,,,,,375,U1518,F,15,R,CC,PAL,FORAM
375-U1518F-16R-4-W 60/65-PAL-FORAM,0,5,336.73,336.78,VG,A,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,16,R,4,W,60/65-PAL-FORAM
375-U1518F-16R-CC-PAL-FORAM,0,1,336.34,336.35,VG,F,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,16,R,CC,PAL,FORAM
375-U1518F-17R-CC-PAL-FORAM,0,10,346.41,346.51,VG,D,,,,,,R,,,,,,,,,F,,,,,,,,375,U1518,F,17,R,CC,PAL,FORAM
375-U1518F-18R-2-PAL(112-122)-FORAM,0,10,353.74,353.84,VG,F,,,,,X,,,,,,,,X,,X,,,,,,,,375,U1518,F,18,R,2,PAL(112-122),FORAM
375-U1518F-19R-CC-PAL-FORAM,0,5,362.9,362.95,VG,F,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,19,R,CC,PAL,FORAM
375-U1518F-20R-CC-PAL-FORAM,0,10,373.71,373.81,VG,A,,,,,,R,,,,,,,,,R,,,,,,,,375,U1518,F,20,R,CC,PAL,FORAM
375-U1518F-21R-CC-PAL-FORAM,0,5,383.11,383.16,VG,A,,,,,,,,,,,,,,,X,,,,,,,,375,U1518,F,21,R,CC,PAL,FORAM
375-U1518F-22R-CC-PAL-FORAM,0,10,391.96,392.06,VG (M),C,,,,,,,,,,,,,X,,,,,,,,,,375,U1518,F,22,R,CC,PAL,FORAM
375-U1518F-23R-CC-PAL-FORAM,0,10,402.53,402.63,VG,D,,,,,,X,,,,,,,,,,,,,,,,,375,U1518,F,23,R,CC,PAL,FORAM
375-U1518F-24R-2-PAL-FORAM,0,10,411.68,411.78,VG,R,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,24,R,2,PAL,FORAM
375-U1518F-25R-4-PAL-FORAM,0,10,422.12,422.22,VG,F,,,,,,,,,,,,,F,,,,,,,,,,375,U1518,F,25,R,4,PAL,FORAM
375-U1518F-26R-CC-PAL-FORAM,0,10,431.52,431.62,VG,A,,,,,,X,,,,,,,,,X,,,,,,,,375,U1518,F,26,R,CC,PAL,FORAM
375-U1518F-27R-CC-PAL-FORAM,0,10,441.35,441.45,VG,C,,,,,,X,,,,,,,,,,,,,,,,,375,U1518,F,27,R,CC,PAL,FORAM
375-U1518F-28R-CC-PAL-FORAM,0,10,451.64,451.74,VG,A,,,,,,,,,,,,,X,,,,,,,,,,375,U1518,F,28,R,CC,PAL,FORAM
375-U1518F-29R-CC-PAL-FORAM,0,6,462.92,462.98,VG,C,,,,,,,,,,,,,X,,,,,,,,,,375,U1518,F,29,R,CC,PAL,FORAM
375-U1518F-30R-CC-PAL-FORAM,0,10,474.43,474.53,VG,A,,,,,,X,,,,,,,,X,X,,,,,,,,375,U1518,F,30,R,CC,PAL,FORAM
375-U1518F-31R-CC-PAL-FORAM,0,10,484.53,484.63,VG,C,,,,,,,,,,,,,X,,,,,,,,,,375,U1518,F,31,R,CC,PAL,FORAM
375-U1518F-32R-CC-PAL-FORAM,0,12,492.26,492.38,VG,A,,,,,,,,,,,,,,,,,,,,,,,375,U1518,F,32,R,CC,PAL,FORAM
