Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
363-U1489C-1H-CC-PAL-NANNO,0,5,3.54,3.59,,AGSF - E. huxleyi present in sample,G,A,V,R,C,C,C,x,x,,,,,,,,,,F,,F,,,P,R,R,P,,,,,,,,,,,,,,,P,,R,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,1,H,CC,PAL,NANNO,
363-U1489C-2H-2-W 60/60-NANNO,0,0,5.6,5.6,,AGSF - P. lacunosa present in sample but preservation is not good compared to 2H-4. possibly reworked?,G,A,A,x,C,A,A,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,2,W,60/60-NANNO,
363-U1489C-2H-4-W 60/60-NANNO,0,0,8.6,8.6,,AGSF -,G,A,V,x,F,C,C,F,F,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,4,W,60/60-NANNO,
363-U1489C-2H-6-W 60/60-NANNO,0,0,11.6,11.6,,AGSF - with P. lacunosa; 1 form similar to R asannoi,G,A,A,x,F,C,C,F,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,6,W,60/60-NANNO,
363-U1489C-2H-CC-PAL-NANNO,0,5,13.31,13.36,,AGSF - P. lacunosa common to abundant; Gephyrocapsa coccospheres present; with reworked Discoasters (very rare); with R. asanoi,G,A,A,x,F,C,A,C,C,P,,,,,,,P,,C,,F,,,,F,,P,,,,,,P,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,2,H,CC,PAL,NANNO,
363-U1489C-3H-4-W 90/90-NANNO,0,0,18.4,18.4,,AGSF -,G,A,,,,,,C,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,3,H,4,W,90/90-NANNO,
363-U1489C-3H-6-W 90/90-NANNO,0,0,21.4,21.4,,AGSF - sample collected from disturbed layer in Core 3,G,A,,,,,,C,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,3,H,6,W,90/90-NANNO,
363-U1489C-3H-CC-PAL-NANNO,0,5,22.85,22.9,,"AGSF - with Gephyrocapsa >5.5um; no C macintyrei; very rare reworked taxa (Staurolithites, Discoaster, Cyclicargolithus, Sphenolithus, R umbilica)",G,A,V,,C,F,C,C,C,,,,,,,,P,,C,x,C,,,,C,,,,,x,,,,,,,,,,P,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,3,H,CC,PAL,NANNO,
363-U1489C-4H-2-W 60/60-NANNO,0,0,24.6,24.6,,AGSF - with Gephyrocapsa >5.5 um,,,,,,,,C,C,P,,,,,,,,,,x,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,4,H,2,W,60/60-NANNO,
363-U1489C-4H-4-W 60/60-NANNO,0,0,27.6,27.6,,AGSF -,,,,,,,,C,C,P,,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,C,4,H,4,W,60/60-NANNO,
