Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1333A-5H-CC-PAL-RADS,320,U1333,A,5,5-CC,H,CC,PAL,RADS,0,0,47.65,47.65,,,,,R,vR,,,,R,,R,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333A-6H-3-W 95/97,320,U1333,A,6,6-3,H,3,W,95/97,95,97,52.4,52.42,RP21,A,G,1,R,,R,R,R,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,RARE D. PRAEORCIPATA,
320-U1333A-6H-5-W 95/97,320,U1333,A,6,6-5,H,5,W,95/97,95,97,55.4,55.42,RP21,A,G,,R,,R,R,R,,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-6H-CC-PAL-RADS,320,U1333,A,6,6-CC,H,CC,PAL,RADS,0,0,57.27,57.27,RP21,C,M,,,,R,,R,R,,R,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-7H-2-W 95/97,320,U1333,A,7,7-2,H,2,W,95/97,95,97,60.4,60.42,RP21,A,G,,R,,R,R,R,R,,R,R,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,TICEROS-ANGUSTA TRANS FORMS; RARE D. PRAEORCIPATA,
320-U1333A-7H-4-W 95/97,320,U1333,A,7,7-4,H,4,W,95/97,95,97,63.4,63.42,RP21,A,M,,R,,R,R,R,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,PSEUDO ELONGATA; TICEROS-ANGUSTA TRANS FORMS,
320-U1333A-7H-CC-PAL-RADS,320,U1333,A,7,7-CC,H,CC,PAL,RADS,0,0,66.55,66.55,RP20,C,M,,R,R,-,R,-,R,,,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333A-8H-2-W 108/110,320,U1333,A,8,8-2,H,2,W,108/110,108,110,69.96,69.98,RP20,C,M,1,R,R,,R,,R,,R,R,R,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,RARE D. PRAEORCIPATA,
320-U1333A-8H-4-W 108/110,320,U1333,A,8,8-4,H,4,W,108/110,108,110,72.96,72.98,RP20,A,M,,R,R,,,,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-8H-CC-PAL-RADS,320,U1333,A,8,8-CC,H,CC,PAL,RADS,0,0,76.14,76.14,RP20,C,M,,R,R,-,-,-,R,,,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
