Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
363-U1484A-1H-CC,0,26,4.79,5.05,E,,1,,,,,,,4,107,8,,,,3,,,,15,,,31,,,,,,3,,,1,,,,,,,1,,,,,10,4,,,30,30,,4,,2,,,,,,5,,,,,,,,6,,,,,,,,,,,,,,,10,,,,,,,,,1,2,,,,,,,,,,,,,,6,16,,,,,,,,,363,U1484,A,1,H,CC,,,,
363-U1484A-2H-CC,0,19,14.66,14.85,E,,1,,,,,,,,5,6,,,,10,,,,7,,,97,,,1,,,,,,,,,,,,,,,,,,,1,,,3,4,,,,,2,,,,,8,,,,,,,3,1,,,,,,,,,,,,,,,6,,,17,,,,,,,7,,,,,,1,,,,,,,1,6,20,,,,,,,,,363,U1484,A,2,H,CC,,,,
363-U1484A-3H-CC,0,23,24.32,24.55,E,,1,,1,,,,,2,35,4,1,,,3,,9,,3,,,16,,1,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,1,,,,,,6,,,1,,4,,,,,,,1,1,,,,,2,,,,4,4,,,14,1,,,,,,9,4,,,2,,,,,,,,,1,2,7,,,,,,,,,363,U1484,A,3,H,CC,,,,
363-U1484A-4H-CC,0,54,33.86,34.4,E,,1,,,1,1,,,1,4,2,3,,,,,2,,5,,,15,,,1,,,,,,,,,,,,,6,,,,,20,1,,,1,2,,,,,1,,,,,13,,,4,,3,,1,2,,,,8,,,,,,,4,,,,6,,,8,,,2,,,,3,,,1,1,,1,,,,,,,1,4,,,,,,,,,,363,U1484,A,4,H,CC,,,,
363-U1484A-5H-CC,0,43,43.42,43.85,E,,1,,,,,,,,26,6,6,,,,,9,,9,,,5,,,2,,,1,,,,13,,,2,,,8,,,,,12,2,,,,,,,,6,2,,,,,13,,,1,,,,2,6,,,,1,,,,,,,1,,,,2,,,15,1,,3,,,,5,,,,,,,,,,,,,9,8,4,,1,,,,,,,363,U1484,A,5,H,CC,,,,
363-U1484A-6H-CC,0,42,52.58,53,E,,1,,,,,,,,11,,,,,,,9,,5,,1,12,,,1,,,,,,,,,,9,,,,,,,,,2,,,,4,,,,,5,7,,,,4,,,5,,,,,7,,,,6,,,,2,,,,,,,7,,,2,,,18,4,,,7,,,,1,,5,,,,,,,11,2,17,,,,,,,,,363,U1484,A,6,H,CC,,,,
363-U1484A-7H-CC,0,43,61.89,62.32,E,,35,,,,,,,,49,5,4,,,,,9,,9,,,69,,,,,,,,,,,,,,,,,,,,,5,3,,,1,,,,,1,,2,,,,4,,,2,,,,,,,,,2,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,7,H,CC,,,,
363-U1484A-8H-CC,0,37,71.63,72,E,,35,,5,2,,,,,14,3,5,,,,,3,,,,,7,,,,,,,,,,,1,,24,,,,,,,,5,,,,,2,,1,,1,4,1,5,,,4,,,9,,,11,6,3,,4,,3,2,,,,,,1,,,,5,,,17,,,45,,,,5,2,,21,13,,,,,,,,,9,11,13,,,,,,,,,363,U1484,A,8,H,CC,,,,
363-U1484A-9H-CC,0,22,81.04,81.26,E,,35,,,,,,,,96,3,12,,,,,4,,3,,2,31,,,,,,,,,,,1,,,,,1,,3,,,9,3,,1,,,,7,,,1,,,,,1,,,,,,,1,1,,,,2,,,,,,,,,,,6,,,5,,,7,7,,,1,,,,,,,,,,,,,1,48,1,,,,,,,,,363,U1484,A,9,H,CC,,,,
363-U1484A-10H-CC,0,18,90.45,90.63,E,,35,,,,,,,,5,7,7,,,,,1,,,,1,5,,,,,1,,,,,,,,15,,,,,,,,1,,,,5,,,,,,6,,,,,5,,,2,,,43,,,,,,4,,,,,,,,,,,3,,,4,,,23,,,,1,4,,,4,,,,,,,,,1,8,,,,,,,,,,363,U1484,A,10,H,CC,,,,
