Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data
375-U1526A-1R-CC-PAL-NANNO,0,5,0,0.05,G/M,A,,,,C,,,R,R,R,,,,*,C,F,,,*,,,,*,,,,,*,,,*,,*,,C,A,,C,,*,,,,,,,,,,F,R,,,R,R,,*,,,,,,*,,,,*,,F,,,,,,,*,,C,,,,,,F,,,
375-U1526A-2R-CC-PAL-NANNO,0,5,10.09,10.14,G/M,A,,,,C,*,,R,R,R,,,,,C,,,,,,,*,*,,,,,,,,,,,,,D,,C,,,,,,,,,,,F,C,F,,,C,C,,,,,,,,*,,,,,,F,,R,,,,,,,C,,,,,,,,,
375-U1526A-3R-1-W 45/47-PAL-NANNO,0,2,19.85,19.87,G/M,C,,,,C,*,,R,,,,,,,F,F,,,*,,,,*,,,,,,,,,,*,,C,,,C,C,,,F,,,,,,,C,F,R,,,A,C,,,,,,,R,,,,,*,,R,,,,,,,,,F,,,,,R,,,,
375-U1526A-3R-1-W 54/56-PAL-NANNO,0,2,19.94,19.96,G/M,C,,,,C,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,C,,,C,,,,F,,,,,,,C,F,,,,C,C,,*,,,,,,,*,,,,*,R,,,,*,,,,,F,,,,,R,,,,
375-U1526A-3R-2-W 14/16-PAL-NANNO,0,2,20.46,20.48,G,C,,,,C,,,R,R,,,,,*,C,,,,,,,R,,,,,,R,,,,,R,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,C,,,,,C,,,,
375-U1526A-3R-CC-PAL-NANNO,0,5,21.04,21.09,M,C,,,,C,,,R,R,,,,,,C,,,,,,,,,,,,,F,,,,,R,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,C,F,,,,,,,,,,R,,,,,,F,,,,,C,,,,
375-U1526A-4R-CC-PAL-NANNO,0,3,30.16,30.19,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
