Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,
320-U1334B-18H-CC-PAL-RADS,320,U1334,B,18,18-CC,H,CC,PAL,RADS,0,0,173.23,173.23,RP21,A,G,1,R,R,R,R,R,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334B-19H-CC-PAL-RADS,320,U1334,B,19,19-CC,H,CC,PAL,RADS,0,0,182.52,182.52,RP20,A,G,1,R,R,,-,,R,,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334B-20H-CC-PAL-RADS,320,U1334,B,20,20-CC,H,CC,PAL,RADS,0,0,191.55,191.55,,,,,,R,,,R,R,R,R,R,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,
320-U1334B-21H-CC-PAL-RADS,320,U1334,B,21,21-CC,H,CC,PAL,RADS,0,0,201.26,201.26,RP20,A,G,,,R,,R,,R,R,R,R,F,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,
320-U1334B-22H-CC-PAL-RADS,320,U1334,B,22,22-CC,H,CC,PAL,RADS,0,0,211.1,211.1,RP20,A,G,,,R,,,,R,R,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,"""EYED"" DIATOMS, SPINES",,
320-U1334B-23X-CC-PAL-RADS,320,U1334,B,23,23-CC,X,CC,PAL,RADS,0,0,220.45,220.45,RP20,A,G,,,R,,,,R,R,,,,C,R,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,"""EYED"" DIATOMS, SPINES",,
320-U1334B-24X-CC-PAL-RADS,320,U1334,B,24,24-CC,X,CC,PAL,RADS,0,0,228.7,228.7,RP20,A,G,,,R,,,,R,R,,,,C,R,,R,,,,R,R,,,R,,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,,,
320-U1334B-25X-CC-PAL-RADS,320,U1334,B,25,25-CC,X,CC,PAL,RADS,0,0,238.39,238.39,RP20,A,G,,,R,,,,,R,,,,R,R,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,"ABUND ""EYED"" DIATOMS",,
320-U1334B-26X-CC-PAL-RADS,320,U1334,B,26,26-CC,X,CC,PAL,RADS,0,0,247.87,247.87,RP19,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,C,,C,R,R,R,R,R,,R,,R,R,,,,,,,,,,,,,,R,,,,,
320-U1334B-27X-CC-PAL-RADS,320,U1334,B,27,27-CC,X,CC,PAL,RADS,0,0,257.58,257.58,RP18,F,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,R,,,R,R,,,F,,F,,,R,,R,,,,,,,,,,,
320-U1334B-28X-CC-PAL-RADS,320,U1334,B,28,28-CC,X,CC,PAL,RADS,0,0,267.29,267.29,RP17,F,P,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,,,R,R,,,,R,R,,,F,,R,,,R,,R,,,,,R,,,,,,
320-U1334B-29X-CC-PAL-RADS,320,U1334,B,29,29-CC,X,CC,PAL,RADS,0,0,276.89,276.89,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
