Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia truncatulinoides	Globorotalia inflata	Globigerinoides ruber	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia hirsuta	Globigerinita glutinata	Zeaglobigerina rubescens	Globigerinoides tenellus	Orbulina universa	Globigerinoides sacculifer	Globigerinella siphonifera	Globorotalia crassaformis	Globorotalia sp. cf. tosaensis	Globorotalia scitula	Comment



  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  1	H	CC	  10.00	      8.3700	Li       	Planktonic Foraminifers                      	C              	VG                	R                            	A                   	A                    	F                      	F                      	F                    	                                     	                         	R                   	                       	                        	                        	                 	                          	                          	                         	                              	                    	bryozoans, gastropods, ben forams, sponge spicules

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  2	H	CC	  12.00	     17.6400	Li       	Planktonic Foraminifers                      	C              	VG                	F                            	A                   	F                    	                       	F                      	F                    	F                                    	                         	R                   	F                      	                        	                        	                 	                          	                          	                         	P                             	R                   	bryozoans, gastropods, ben forams, sponge spicules

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  3	H	CC	   6.00	     27.4600	Li       	Planktonic Foraminifers                      	C              	G                 	F                            	A                   	A                    	                       	F                      	F                    	F                                    	                         	R                   	                       	                        	P                       	                 	                          	                          	                         	                              	                    	gastropods, benforams, bryozoans

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  4	H	CC	   8.00	     36.7800	Li       	Planktonic Foraminifers                      	C              	G                 	R                            	A                   	A                    	F                      	F                      	F                    	F                                    	                         	P                   	F                      	                        	P                       	R                	                          	                          	                         	                              	                    	shell fragments, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  5	H	CC	   9.00	     46.5500	Li       	Planktonic Foraminifers                      	C              	M                 	R                            	A                   	A                    	F                      	F                      	F                    	F                                    	                         	                    	F                      	P                       	                        	                 	                          	                          	P                        	                              	                    	shell fragments, ben forams, frosted planktonics

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  6	H	CC	   0.00	     51.8200	Li       	Planktonic Foraminifers                      	C              	M                 	R                            	A                   	A                    	                       	F                      	F                    	F                                    	                         	                    	                       	                        	                        	P                	P                         	P                         	                         	                              	                    	shell fragments, ben forams, frosted planktonics

  IR	                 	Quaternary       	                  	Pt1b          	182	1131	B	  7	H	CC	   0.00	     65.5200	Li       	Planktonic Foraminifers                      	C              	M                 	R                            	A                   	A                    	                       	F                      	F                    	F                                    	                         	                    	                       	                        	                        	                 	                          	                          	                         	                              	                    	shell fragments, spnge spicules

  IR	                 	Quaternary       	                  	              	182	1131	B	  8	X	CC	  15.00	     69.3400	Li       	Planktonic Foraminifers                      	C              	M                 	P                            	A                   	F                    	P                      	F                      	F                    	F                                    	                         	                    	                       	                        	P                       	                 	                          	                          	                         	                              	                    	       

  IR	                 	Quaternary       	                  	              	182	1131	B	  9	X	CC	  13.00	     77.0200	Li       	Planktonic Foraminifers                      	F              	P                 	P                            	A                   	P                    	P                      	P                      	P                    	P                                    	P                        	                    	                       	                        	P                       	                 	                          	                          	                         	                              	                    	       

  IR	                 	Quaternary       	                  	              	182	1131	B	 10	X	CC	  22.00	     85.6200	Li       	Planktonic Foraminifers                      	C              	P                 	P                            	A                   	F                    	P                      	P                      	P                    	P                                    	                         	                    	                       	P                       	                        	                 	                          	                          	                         	                              	                    	s.spicules rich; cf. ungulata

  IR	                 	Quaternary       	                  	              	182	1131	B	 11	X	CC	  17.00	     93.2800	Li       	Planktonic Foraminifers                      	F              	P                 	P                            	F                   	P                    	P                      	F                      	F                    	P                                    	P                        	P                   	P                      	                        	                        	                 	                          	                          	                         	                              	                    	       

  IR	                 	Quaternary       	                  	              	182	1131	B	 12	X	CC	  14.00	    104.8400	Li       	Planktonic Foraminifers                      	F              	P                 	P                            	P                   	P                    	P                      	P                      	P                    	                                     	                         	                    	                       	                        	                        	                 	                          	                          	                         	                              	                    	       

