Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data
368-U1505C-1H-1-PAL_MUDLINE-FORAM,0,0,0,0,,,,,,,,,,,,,,M [P32],A [A87],75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,R [A88],P [A88],,,P [A88],,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,P [A88],,,,,,,,,,,,,A [A88],,,,P [A88],,,,,,,,,,,,,,,,,,,,,
368-U1505C-1H-CC-PAL(15-20)-FORAM,0,5,8.18,8.23,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,R,,,,P,,,,,,A,A,,,,R,,,,,,,,,,R,,,,,,,,A,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,F,,,,P,,,,,F [A88],,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,,,,
368-U1505C-2H-CC-PAL(19-24)-FORAM,0,5,17.69,17.74,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,R,,,,R [A88],,,,,A [A88],A,A,,,,F [A88],,,,,,,,,,F [A88],,,,,,,P [A88],F [A88],,,,,A [A88],,,,,,,,,,,,,,P,,,P [A88],,,,,,,,,,,,,,,F,,,,P,,,,,F,,,,,,,,,,,,,F [A88],,,,P,,,,,,,,,,,,,,,,,,,,,
368-U1505C-3H-CC-PAL(17-22)-FORAM,0,5,25.99,26.04,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P [A88],P [A88],,,P [A88],,,,,A,A,F [A88],,,,F,,,,,,,,,,,,,,,,,P,F,,,,,F [A88],,,,,,,,,,,,,,,,,P,R [A88],,,,,,,,,,,,,,F,,,,P,,,,,R [A88],,,,,,,,,,,,,P [A88],,,,P,,,,,,,,,,,,,,,,,,,,,
368-U1505C-4H-CC-PAL(30-35)-FORAM,0,5,37.12,37.17,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,R [A88],,P [A88],P [A88],,,R [A88],,,,,,A [A88],A [A88],,,,,,,,,,,,,,P [A88],,,,,,,,F [A88],,,,,F [A88],,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,R [A88],,,,P [A88],,,,,P [A88],,,,,,,,,,,,,A [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,
368-U1505C-5H-CC-PAL-FORAM,0,5,46.46,46.51,,,,,,,,,,,,,,G,A,90,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,P,,,,,,A,F [A88],,,,F,,,,,,,,,,R [A88],,,,,,,P,F,,,,,R [A88],,,,,,,,,,,,,,P,,P [A88],R [A88],R,,,,,,,,,,,,,,F,,,,P,,,,,P [A88],,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,
368-U1505C-6H-CC-PAL-FORAM,0,5,56.18,56.23,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,P [A88],,,,,,A [A88],A [A88],,,,,,,,,,,,,,P [A88],,,,,,,,F [A88],,,,,F [A88],,,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,,,,,,,,,,,,,F [A88],R [A88],,,R [A88],,,,,P [A88],,,,,,,,,,,,,F [A88],,,,A [A88],,,,,,,,,,,,,,,,,,,,,
368-U1505C-7H-CC-PAL-FORAM,0,5,65.65,65.7,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,P [A88],,,,A,P [A88],,,,P [A88],,,,,,,,,,P [A88],,,,,,,P,,,,,,F [A88],,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,
368-U1505C-8H-CC-PAL-FORAM,0,5,74.9,74.95,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],R [A88],,,,,F [A88],A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,P [A88],,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,F [A88],,,,,,,,,P [A88],,,,,,,,,,,,,F [A88],,,,F [A88],,A [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-9H-CC-PAL-FORAM,0,5,84.13,84.18,,,,,,,,,,,,,,G [P32],A [A87],95,,,,P [A88],,,,,,,A [A88],,,,P [A88],,,,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,P [A88],R [A88],,,,,R [A88],A [A88],,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,F [A88],,,,P [A88],,,,,F [A88],,,,,,,,,,,,,R [A88],,,,R [A88],A [A88],F [A88],,,,,,,,,,,,,,,,,,,
