Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylatractus universus,Stichocorys peregrina,Stichocorys delmontensis,Sphaeropyle robusta,Lychnocanoma nipponica nipponica,Lychnocanoma nipponica magnacornuta,Dictyophimus splendens,Cycladophora cosma cosma,Anthocyrtella (?) callopisma,Amphymenium amphistylium,Stylacontarium acquilonium,Prunopyle hayesi,Eucyrtidium calvertense,Botryostrobus aquilonaris,Phormostichoartus fistula,Lamprocyrtis heteroporos,Sphaeropyle langii,Actinomma popofskii,Cycladophora pliocenica,Dictyophimus bullatus,Phormostichoartus crustula,Haliommetta miocenica,Phormostichoartus pitomorphus,Lamprocyrtis neoheteroporos,Cycladophora davisiana davisiana,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Lamprocyrtis nigriniae,Didymocyrtis tetrathalamus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  1,H, 1,  20.00,      0.2000,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,                      ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,                            ,                        ,                          ,                ,                       ,F                        ,                         ,                        ,R                 ,                   ,T                      ,                     ,                          ,T                    ,                             ,                           ,C                               ,R                            ,                     ,+                     ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  1,H, 1, 115.00,      1.1500,Morley   ,Radiolarians                                 ,A              ,M-G               ,                      ,                      ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,                            ,                        ,                          ,                ,                       ,F                        ,                         ,                        ,T                 ,                   ,R                      ,                     ,                          ,R                    ,                             ,rT                         ,C                               ,C                            ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  1,H, 2, 115.00,      2.6500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,R                     ,T                    ,                        ,                   ,                                ,                                   ,                      ,F                       ,                            ,                        ,F                         ,                ,                       ,F                        ,                         ,                        ,R                 ,                   ,R                      ,                     ,                          ,R                    ,                             ,                           ,C                               ,F                            ,                     ,+                     ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  1,H, 3, 115.00,      4.1500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,T                     ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,+                           ,                        ,R                         ,                ,                       ,R                        ,                         ,                        ,T                 ,                   ,R                      ,                     ,                          ,R                    ,                             ,                           ,F                               ,F                            ,                     ,-                     ,-                         ,From Leg 145 SR; Ch 4; Table 4; p. 60
