Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema bacillaris,Roperia tesselata,Pseudoeunotia doliolus,Planktoniella  sol,Nitzschia marina,Nitzschia kerguelenis,Nitzschia barronii,Hemidiscus cuneiformis,Coscinodiscus radiatus,Chaetoceros sp.,Azpeitia nodulifera,Azpeitia africana,Xanthiopyxis ovalis,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira leptopus,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Paralia sulcata,Eucampia antarctica,Chaetoceros spp. (resting spores),Actinocyclus curvatulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,A,  1,H, 4,  23.00,      4.7300,diatoms  ,Diatoms                                      ,               ,                  ,                        ,                 ,F                     ,                  ,F               ,F                    ,T                 ,                      ,F                     ,               ,R                  ,                 ,F                  ,T                        ,R                      ,R                     ,R                       ,T                                      ,F              ,T                  ,R                                ,T                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,A,  1,H, 6,  96.00,      8.4600,diatoms  ,Diatoms                                      ,               ,                  ,R                       ,F                ,F                     ,R                 ,F               ,F                    ,T                 ,T                     ,R                     ,F              ,F                  ,R                ,                   ,                         ,                       ,                      ,                        ,                                       ,               ,                   ,                                 ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
