Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Saturnalis circularis,Pterocanium trilobum,Pterocanium praetextum eucolpum,Phormostichoartus corbula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Eucyrtidium calvertense,Eucyrtidium acuminatum,Didymocyrtis tetrathalamus tetrathalamus,Cycladophora davisiana,Cycladophora cornutoides,Acanthodesmia viniculata,Eucyrtidium anomalum,Spongaster tetras tetras,Axoprunum angelinum,Amphirhopalum ypsilon,Pterocanium praetextum praetextum,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  1,H,CC,  13.00,      4.9300,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,1                              ,1                        ,                           ,                        ,+                  ,+                              ,                       ,1                     ,+                                       ,+                     ,+                       ,                        ,+                   ,+                       ,                   ,                     ,                                 ,                       ,+                     ,+                                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  2,H,CC,  18.00,     10.7800,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,1                      ,1                     ,+                                       ,+                     ,+                       ,+                       ,+                   ,+                       ,                   ,                     ,1                                ,                       ,+                     ,+                                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  3,H,CC,  16.00,     24.0900,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,1                              ,                       ,+                     ,+                                       ,+                     ,+                       ,                        ,1                   ,                        ,                   ,                     ,+                                ,                       ,+                     ,+                                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  4,H,CC,  18.00,     33.8500,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,1                        ,                           ,                        ,+                  ,+                              ,1                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,+                   ,+                       ,                   ,+                    ,                                 ,                       ,+                     ,                                   ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
