Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Menardella menardii,Hastigerina siphonifera,Globigerinoides trilobus,Globigerinoides ruber,Globigerina bulloides,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (sinistral),Globorotaloides hexagona,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globorotalia hirsuta,Globorotalia crassaformis hessi,Globorotalia crassaformis,Globorotalia conglomerata,Globorotalia aequilaterus,Globoconella inflata,Globigerinoides sacculifer,Globigerinoides ruber (pink),Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerina quinqueloba,Beella digitata,Globorotalia menardii,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  1,H,CC,  13.00,      4.9300,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,D41              ,3                          ,3                         ,                   ,5                      ,4                       ,5                    ,1                    ,                         ,                            ,5                                      ,                        ,                   ,                             ,2                   ,                    ,                               ,7                        ,                         ,                         ,A10                 ,1                         ,A12                         ,                             ,                         ,                       ,                       ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  2,H,CC,  18.00,     10.7800,Christensen,Planktonic Foraminifers                      ,C              ,VG                ,A18              ,6                          ,4                         ,                   ,4                      ,4                       ,A8                   ,5                    ,                         ,                            ,                                       ,                        ,                   ,                             ,2                   ,                    ,                               ,4                        ,                         ,                         ,3                   ,3                         ,A9                          ,                             ,                         ,                       ,                       ,1              ,                     ,                      ,not so many fecal pellets as 1076; has a grayer color. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  3,H,CC,  16.00,     24.0900,Christensen,Planktonic Foraminifers                      ,F              ,VG                ,4                ,A11                        ,A10                       ,                   ,9                      ,                        ,A11                  ,9                    ,                         ,                            ,                                       ,                        ,                   ,                             ,4                   ,                    ,                               ,A17                      ,                         ,                         ,A19                 ,                          ,A13                         ,                             ,                         ,                       ,                       ,               ,                     ,1                     ,possible toaasensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  4,H,CC,  18.00,     33.8500,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,6                ,A16                        ,A8                        ,                   ,5                      ,3                       ,3                    ,1                    ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,6                        ,                         ,                         ,                    ,1                         ,A20                         ,                             ,                         ,                       ,                       ,               ,1                    ,                      ,       
