Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Sphenolithus heteromorphus,Reticulofenestra spp.,Pontosphaera spp.,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster musicus,Discoaster formosus,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus miopelagicus,Calcidiscus leptoporus,Geminilithella rotula,Discoaster variabilis,Discoaster moorei,Discoaster exilis,Triquetrorhabdulus milowii,Discoaster signus,Coccolithus pelagicus,Thoracosphaera spp.,Reticulofenestra pseudoumbilicus,Triquetrorhabdulus serratus,Helicosphaera intermedia,Discoaster bollii,Calcidiscus macintyrei,Triquetrorhabdulus rugosus,Discoaster kugleri,Umbilicosphaera spp.,Catinaster coalitus,Discoaster calcaris,Discoaster bellus,Discoaster hamatus,Discoaster quinqueramus,Discoaster surculus,Discoaster pseudovariabilis,Discoaster brouweri,Minylitha convallis,Discoaster neohamatus,Discoaster neorectus,Discoaster loeblichii,Discoaster berggrenii,Amaurolithus primus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Reticulofenestra rotaria,Amaurolithus amplificus,Discoaster pentaradiatus,Discoaster intercalaris,Scyphosphaera spp.,Discoaster asymmetricus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus rugosus,Syracosphaera sp.,Ceratolithus telesmus,Thoracosphaera sp.,Ceratolithus cristatus,Pseudoemiliania lacunosa,Discoaster tamalis,Helicosphaera sellii,Discoaster triradiatus,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa oceanica,Gephyrocapsa spp. large (>5.5 microns),Gephyrocapsa omega,Helicosphaera hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14b             ,CN15          ,138, 846,B,  2,H, 5,  60.00,     13.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,                     ,A                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,                      ,C                    ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,C                   ,                   ,                    ,                 ,                     ,                  ,                      ,                        ,                  ,                    ,                      ,                       ,A                                   ,cf                   ,                                      ,                  ,F                    ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14b             ,CN15          ,138, 846,B,  2,H, 6,  54.00,     15.0400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,                 ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,                        ,                  ,                    ,                      ,                       ,A                                   ,                     ,                                      ,                  ,F                    ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14b             ,CN15          ,138, 846,B,  2,H, 6, 120.00,     15.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,                 ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,R                       ,                  ,                    ,                      ,                       ,A                                   ,F                    ,                                      ,                  ,R                    ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  2,H, 7,  20.00,     16.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,                 ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,cf                   ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,                        ,                  ,                    ,                      ,R                      ,A                                   ,F                    ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
