Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Lithopera thornburgi,Lithopera renzae,Diartus petterssoni,Cyrtocapsella japonica,Cyrtocapsella cornuta,Carpocanopsis cristata,Botryostrobus miralestensis,Stichocorys delmontensis,Siphostichartus corona,Phormostichoartus doliolum,Diartus hughesi,Calocycletta caepa,Stichocorys johnsoni,Solenosphaera omnitubus omnitubus,Didymocyrtis penultima,Stichocorys peregrina,Lychnodictyum audax,Theocorythium vetulum,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  3,H, 5, 110.00,     23.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,-                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,-                                  ,-                    ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  3,H,CC,  19.00,     26.1500,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,-                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,R                    ,R                     ,-                                  ,-                    ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  4,H, 3, 110.00,     30.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,-                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  4,H, 5, 110.00,     33.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,-                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,R                    ,R                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  4,H, 6, 139.00,     34.8900,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,R                    ,R                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  4,H,CC,  13.00,     36.0200,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,F                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 846,B,  5,H, 1,  20.00,     35.7000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,-                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  5,H, 2,  20.00,     37.2000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  5,H, 3, 110.00,     39.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,-                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,R                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  5,H, 4,  79.00,     40.7900,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  5,H, 5, 110.00,     42.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,-                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
