Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Ioanella tumidula,Gyroidinoides neosoldanii,Gyroidinoides lamarckianus,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides mundulus,Cibicides  bradyi,Alabaminella weddellensis,Sphaeroidina bulloides,Gyroidina umbonata,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Pyrgo murrhina,Gyroidina orbicularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,B,  4,H, 4,   7.00,     33.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,4                 ,1              ,3                       ,2                 ,            ,5                   ,10                ,2                 ,11                   ,5                 ,55                    ,                 ,2                        ,2                         ,42                         ,3                  ,39                  ,18                   ,                 ,33                       ,1                     ,3                 ,                        ,3                         ,1             ,1                    ,Other taxa = 7; Total count = 253; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,B,  9,H, 6,  70.00,     84.2000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,5              ,3                       ,2                 ,2           ,6                   ,8                 ,5                 ,10                   ,2                 ,17                    ,6                ,7                        ,8                         ,59                         ,1                  ,32                  ,13                   ,                 ,50                       ,2                     ,2                 ,                        ,1                         ,              ,                     ,Other taxa = 6; Total count = 258; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,B, 10,H, 6, 148.00,     94.4800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,4              ,2                       ,1                 ,2           ,                    ,1                 ,4                 ,6                    ,6                 ,15                    ,3                ,5                        ,5                         ,67                         ,                   ,15                  ,6                    ,4                ,25                       ,2                     ,2                 ,3                       ,                          ,              ,                     ,Other taxa = 3; Total count = 188; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,B, 13,H, 6,  30.00,    121.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,1              ,2                       ,2                 ,3           ,2                   ,1                 ,1                 ,12                   ,3                 ,35                    ,3                ,2                        ,3                         ,28                         ,1                  ,41                  ,8                    ,2                ,46                       ,                      ,                  ,                        ,                          ,              ,                     ,Other taxa = 3; Total count = 211; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
