Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster tetras tetras,Lamprocyrtis nigriniae,Eucyrtidium acuminatum,Didymocyrtis tetrathalamus tetrathalamus,Amphirhopalum ypsilon,Acanthodesmia viniculata,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Holocene         ,                  ,              ,175,1078,A,  9,X,CC,   0.00,     70.8900,Motoyama ,Radiolarians                                 ,F              ,M                 ,+                       ,+                     ,+                     ,+                                       ,+                    ,+                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
