Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stylatractus universus	Stichocorys peregrina	Stichocorys delmontensis	Prunopyle hayesi	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Cycladophora cosma cosma	Actinomma popofskii	Sphaeropyle robusta	Eucyrtidium calvertense	Dictyophimus splendens	Stylacontarium acquilonium	Cycladophora pliocenica	Lamprocyrtis heteroporos	Anthocyrtella (?) callopisma	Phormostichoartus crustula	Sphaeropyle langii	Dictyophimus bullatus	Botryostrobus aquilonaris	Cycladophora davisiana davisiana	Lamprocyrtis neoheteroporos	Haliommetta miocenica	Phormostichoartus pitomorphus	Lychnocanoma nipponica sakaii	Eucyrtidium matuyamai	Didymocyrtis tetrathalamus	Lamprocyrtis nigriniae	Comment



  SR	                 	                 	                  	              	145	 881	C	  1	H	 1	  21.00	      0.2100	Morley   	Radiolarians                                 	F              	G                 	                      	                      	                     	                        	                	                         	                                	C                       	                   	                   	                       	                      	                          	                       	                        	                            	                          	R                 	                     	F                        	C                               	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  1	H	CC	  11.00	      3.9000	Morley   	Radiolarians                                 	F              	G                 	                      	                      	                     	                        	                	                         	                                	F                       	                   	                   	                       	                      	                          	                       	                        	                            	                          	T                 	                     	                         	C                               	                           	R                    	                             	F                            	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  2	H	CC	  14.00	     13.4000	Morley   	Radiolarians                                 	R              	G                 	                      	                      	                     	                        	                	                         	                                	F                       	                   	                   	                       	                      	                          	                       	                        	                            	                          	R                 	                     	                         	C                               	                           	-                    	                             	F                            	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  3	H	CC	  12.00	     22.0800	Morley   	Radiolarians                                 	F              	M-G               	                      	                      	                     	                        	                	                         	                                	F                       	                   	                   	                       	                      	                          	T                      	                        	                            	                          	F                 	                     	T                        	C                               	                           	R                    	                             	F                            	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  4	H	CC	  10.00	     32.6300	Morley   	Radiolarians                                 	R              	P-M               	                      	T                     	                     	                        	                	                         	                                	T                       	                   	                   	                       	                      	F                         	                       	                        	                            	                          	R                 	                     	R                        	F                               	                           	R                    	                             	                             	                     	T                         	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  5	H	CC	  25.00	     41.1300	Morley   	Radiolarians                                 	F              	M                 	                      	R                     	                     	                        	                	                         	                                	F                       	                   	                   	T                      	                      	R                         	R                      	                        	T                           	                          	R                 	                     	F                        	C                               	                           	T                    	                             	F                            	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

