Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira torokina,Thalassiosira oliverana,Thalassiosira inura,Thalassiosira fasciculata,Nitzschia praeinterfrigidaria,Nitzschia barronii,Actinocyclus karstenii,Thalassiosira kolbei,Nitzschia arcula,Thalassiosira lentiginosa,Thalassiosira insigna,Nitzschia kerguelenis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  1,H,CC,   0.00,      5.6700,Iwai     ,Diatoms                                      ,               ,                  ,                      ,                       ,                   ,                         ,                             ,                  ,                      ,                    ,                ,                         ,                     ,F                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  7,H,CC,  24.00,     59.2200,Iwai     ,Diatoms                                      ,C              ,P                 ,                      ,                       ,                   ,                         ,                             ,                  ,+                     ,                    ,                ,                         ,                     ,                     ,abundant diatom frags.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  8,H,CC,  28.00,     68.9000,Iwai     ,Diatoms                                      ,F              ,P                 ,+                     ,                       ,R                  ,                         ,                             ,                  ,R                     ,                    ,                ,+                        ,R                    ,                     ,many reworked??!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  9,H,CC,  18.00,     78.0700,Iwai     ,Diatoms                                      ,F              ,P                 ,F                     ,R                      ,F                  ,                         ,                             ,R                 ,R                     ,+                   ,R               ,                         ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A, 10,H,CC,  26.00,     87.7300,Iwai     ,Diatoms                                      ,F              ,P                 ,F                     ,+                      ,+                  ,+                        ,+                            ,R                 ,R                     ,                    ,                ,                         ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
