Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides  var. parva,Fragilariopsis kerguelensis,Fragilariopsis doliolus,Azpeitia tabularis,Actinoptychus senarius,Thalassiothrix antarctica-longissima-group,Thalassiosira oestrupii,Hemidiscus karstenii,Zbenthic marine diatoms spp.,Thalassiosira lentiginosa,Thalassionema nitzschioides,Paralia sulcata,Nitzschia separanda,Azpeitia nodulifera,Alveus marinus,Nitzschia marina,Actinocyclus ingens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  2,H,CC,  10.00,     13.6700,Gersonde ,Diatoms                                      ,C              ,M                 ,                                       ,C                          ,F                      ,F                 ,                      ,F                                         ,                       ,                    ,                            ,                         ,                           ,               ,                   ,                   ,              ,                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  3,H,CC,   8.00,     23.1200,Gersonde ,Diatoms                                      ,A              ,G                 ,                                       ,A                          ,R                      ,                  ,                      ,F                                         ,R                      ,                    ,                            ,R                        ,                           ,               ,                   ,                   ,              ,R               ,rT                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  4,H,CC,  12.00,     32.4200,Gersonde ,Diatoms                                      ,C              ,M                 ,                                       ,C                          ,                       ,                  ,                      ,R                                         ,                       ,R                   ,                            ,F                        ,                           ,               ,R                  ,R                  ,R             ,                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  5,H,CC,  16.00,     41.9000,Gersonde ,Diatoms                                      ,A              ,G                 ,                                       ,C                          ,R                      ,                  ,T                     ,F                                         ,                       ,R                   ,T                           ,F                        ,F                          ,T              ,                   ,                   ,              ,                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  6,H,CC,  11.00,     51.1800,Gersonde ,Diatoms                                      ,F              ,M                 ,                                       ,C                          ,                       ,R                 ,                      ,F                                         ,R                      ,R                   ,                            ,                         ,                           ,               ,                   ,                   ,              ,                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  7,H,CC,   8.00,     60.7300,Gersonde ,Diatoms                                      ,F              ,M                 ,T                                      ,C                          ,R                      ,R                 ,T                     ,                                          ,                       ,                    ,                            ,                         ,                           ,               ,                   ,                   ,              ,                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
