leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
14,140,A,2,3,0.0,0.0,235.00,238.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0041,Desmospyris lata (q),PRESENT,  ,1,557ccb66fe1d57de4a1febcfe70b8e50
14,140,A,2,3,80.0,82.0,235.00,238.81, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RAXOP0020,Axoprunum carduum,PRESENT,  ,1,200ba6a1b308bdfc13aa639c13d88616
14,140,A,2,3,80.0,82.0,235.00,238.81, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLITA0021,Lithapium mitra (q),PRESENT,  ,1,ebcff1fd065d9e0d3d8a973c27e28598
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCLIS0020,Clistophaera sp.,PRESENT,  ,1,ad2fcf0c432a9c9ca82cc28a08e9264a
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCORU0050,Cornutella stiligera,PRESENT,  ,1,7d6cc53787dab1cb21e2fcdb2845c0f3
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDIPL0010,Diplocyclas sp.,PRESENT,  ,1,0a7c2f61af964b06824a359de35482a6
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RHALO0020,Haliometta sp.,PRESENT,  ,1,4302c546158f8a35864befcdfc20a756
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPERY0030,Peripyramis magnifica,PRESENT,  ,1,9aa9d709fb3b2439aa609c35acde25d1
14,140,A,2,5,0.0,0.0,235.00,241.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0021,Desmospyris anthocyrtoides (q),PRESENT,  ,1,a1dc29eb5c3cd200c24ba7d8da3b8c52
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACAH0021,Acanthosphaera haliformis (q),PRESENT,  ,1,86eb2b043572da9ffeb69974bbc17693
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACTN0010,Actinommura sp.,PRESENT,  ,1,0c0dce5e73ccb02e99fe1e1022a44548
