Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Rossiella paleacea,Denticulopsis hustedtii,Crucidenticula nicobarica,Coscinodiscus marginatus,Cavitatus jouseanus,Annellus californicus,Coscinodiscus lewisianus,Cestodiscus pulchellus,Cestodiscus peplum,Thalassionema nitzschioides,Odontella aurita,Craspedodiscus coscinodiscus,Azpeitia nodulifera,Actinocyclus moronensis,Actinoptychus senarius,Thalassiosira tappanae,Asteromphalus elegans,Triceratium pileus,Thalassiosira yabei,Coscinodiscus lewisianus var. similis,Actinocyclus ellipticus var. javanica,Coscinodiscus temperei var. delicata,Thalassiosira oestrupii,Nitzschia porteri,Hemidiscus cuneiformis,Actinocyclus ellipticus,Thalassiosira praeconvexa,Nitzschia miocenica,Nitzschia marina,Rhizosolenia praebergonii var. robusta,Nitzschia fossilis,Pseudoeunotia doliolus,Nitzschia reinholdii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 23,R,CC,   0.00,    376.2000,White    ,Diatoms                                      ,F              ,M                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,F                          ,                ,                            ,R                  ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,+                                   ,F                      ,                 ,R                     ,                       ,                         ,                   ,F               ,                                      ,rR                ,R                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 24,R,CC,  16.00,    385.6000,White    ,Diatoms                                      ,C              ,M                 ,R                        ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,F                          ,                ,                            ,                   ,                       ,R                     ,                      ,                     ,rR                ,                   ,                                     ,                                     ,                                    ,F                      ,                 ,                      ,                       ,                         ,                   ,F               ,rR                                    ,rR                ,F                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 25,R,CC,  18.00,    397.8800,White    ,Diatoms                                      ,C              ,M                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,rR                ,F                          ,                ,                            ,R                  ,                       ,R                     ,                      ,                     ,rR                ,                   ,                                     ,                                     ,                                    ,C                      ,                 ,R                     ,                       ,                         ,                   ,F               ,rR                                    ,rR                ,F                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 26,R,CC,  22.00,    405.7400,White    ,Diatoms                                      ,C              ,M                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,F                          ,                ,                            ,                   ,rR                     ,                      ,                      ,R                    ,                  ,                   ,                                     ,                                     ,                                    ,F                      ,                 ,R                     ,                       ,                         ,                   ,F               ,rR                                    ,rR                ,F                     ,rR                  ,       
