Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Praeorbulina transitoria	Praeorbulina sicana	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa curva	Praeorbulina glomerosa circularis	Globorotaloides suteri	Globorotalia praemenardii	Globorotalia peripheroronda	Globorotalia peripheroacuta	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides ruber s.l.	Globigerinoides quadrilobatus s.l.	Globigerinoides mitra	Globigerinoides diminutus	Globigerinoides bisphericus	Globigerinatella insueta	Dentoglobigerina altispira altispira	Clavatorella bermudezi	Globorotalia scitula	Globigerinoides obliquus obliquus	Globigerinella praesiphonifera	Orbulina suturalis	Globorotalia praefohsi	Sphaeroidinellopsis kochi	Orbulina universa	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotaloides variabilis	Globorotaloides hexagona	Globorotalia menardii s.l.	Globigerinita glutinata	Globorotalia miozea	Globorotalia limbata	Globigerinoides obliquus extremus	Globigerinella siphonifera	Dentoglobigerina altispira globosa	Neogloboquadrina acostaensis	Candeina nitida	Pulleniatina primalis	Pulleniatina obliquiloculata	Globorotalia tumida tumida	Globorotalia margaritae	Globigerinoides conglobatus	Neogloboquadrina humerosa	Sphaeroidinella dehiscens	Globoquadrina conglomerata	Globorotalia tumida flexuosa	Globorotalia crassaformis	Globigerinoides fistulosus	Comment



  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 1	 133.00	      1.3300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	                         	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+?                               	                              	                  	                      	+                        	+                	                              	                            	                          	+                       	                          	                       	                   	+                   	                                 	+                         	                                  	+                           	+              	                     	+                           	+                         	                       	+                          	+                        	+                        	+                         	                            	+?                       	+                         	benthic foraminifers few. radiolarians rare. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 2	 133.00	      2.8300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	                         	                       	+                           	+?                        	+                                 	                     	                         	                           	                        	+                                   	                      	                    	                                 	+                             	                  	                      	+                        	+                	+                             	                            	                          	+                       	                          	                       	                   	+                   	+?                               	+                         	+                                 	+                           	+              	                     	+                           	+                         	                       	+                          	+                        	+                        	+                         	                            	+                        	                          	benthic foraminifers few. radiolarians rare. sponge spicules rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 3	 133.00	      4.3300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	                         	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	                                 	                              	                  	                      	+                        	+                	+                             	+?                          	                          	                        	                          	                       	                   	+                   	                                 	+                         	                                  	+                           	+              	                     	+                           	+                         	                       	+                          	                         	+?                       	+                         	+?                          	+                        	                          	benthic foraminifers few. radiolarians rare. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 4	 133.00	      5.8300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	                         	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+?                               	+                             	                  	                      	+                        	+                	+                             	                            	                          	+                       	                          	+                      	                   	+                   	+?                               	+                         	+                                 	+                           	+              	                     	+                           	+                         	                       	+                          	                         	+?                       	+                         	                            	                         	                          	benthic foraminifers rare. radiolarians rare. sponge spicules rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.
