Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizosolenia styliformis,Eucampia antarctica,Denticulopsis simonsenii,Paralia sulcata,Actinocyclus karstenii,Odontella aurita,Thalassiosira torokina,Thalassiosira oliverana,Thalassiosira oestrupii,Thalassiosira inura,Nitzschia barronii,Thalassiosira elliptipora,Nitzschia praecurta,Actinocyclus octonarius,Actinocyclus actinochilus,Thalassiosira complicata,Nitzschia kerguelenis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  1,R,CC,  20.00,      0.2000,Winter   ,Diatoms                                      ,T              ,P                 ,                        ,                   ,                        ,               ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,+                    ,+ Rhiz. spp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  6,R,CC,   2.00,     45.6200,Winter   ,Diatoms                                      ,T              ,P                 ,+                       ,                   ,                        ,               ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  8,R, 1,  50.00,     65.3000,Winter   ,Diatoms                                      ,R              ,P                 ,T                       ,                   ,                        ,T              ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  9,R,CC,  34.00,     74.7400,Winter   ,Diatoms                                      ,T              ,P                 ,                        ,                   ,                        ,               ,+                     ,+               ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,+ Stephanogonia spp. + Rhiz spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 10,R, 1,  38.00,     84.3800,Winter   ,Diatoms                                      ,T              ,P                 ,+                       ,                   ,                        ,               ,                      ,+               ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,+ Stephanogonia spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 11,R,CC,  59.00,     94.2900,Winter   ,Diatoms                                      ,R              ,P                 ,                        ,                   ,                        ,               ,                      ,                ,R                     ,                       ,                       ,+                  ,+                 ,                         ,                   ,                       ,                         ,+                       ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
