Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globotruncana linneiana	Rugoglobigerina hexacamerata	Pseudohastigerina micra	Zeaglobigerina labiacrassata	Tenuitella munda	Globigerinita uvula	Globigerina ampliapertura	Jenkinsella mayeri	Globigerina sellii	Dentoglobigerina galavisi	Globigerina falconensis	Comment



  SR	Oligocene        	Miocene          	                  	              	121	 754	A	 11	H	CC	  10.00	    102.2200	van Eijden	Planktonic Foraminifers                      	               	                  	                       	                            	                       	                            	                	.2%                	                         	                  	                  	.8%                      	.2%                    	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	Late Oligocene   	                 	                  	              	121	 754	A	 12	H	 3	 110.00	    106.7000	van Eijden	Planktonic Foraminifers                      	               	                  	                       	                            	                       	                            	                	                   	                         	.9%               	2.6%              	1.3%                     	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	Oligocene        	                 	                  	              	121	 754	A	 12	H	CC	  10.00	    112.2200	van Eijden	Planktonic Foraminifers                      	               	                  	                       	                            	                       	                            	2.6%            	.7%                	2.6%                     	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	Oligocene        	                 	                  	              	121	 754	A	 13	X	CC	  26.00	    117.2200	van Eijden	Planktonic Foraminifers                      	               	                  	                       	                            	                       	.5%                         	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	                 	                 	                  	              	121	 754	A	 14	X	 3	 110.00	    126.1000	van Eijden	Planktonic Foraminifers                      	               	                  	                       	                            	.4%                    	                            	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	Eocene           	                 	                  	              	121	 754	A	 17	X	CC	  20.00	    151.2000	van Eijden	Planktonic Foraminifers                      	               	                  	1.9%                   	                            	                       	                            	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	                 	                 	                  	              	121	 754	A	 20	N	 2	 115.00	    165.2500	van Eijden	Planktonic Foraminifers                      	               	                  	                       	5.6%                        	                       	                            	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	                 	                 	                  	              	121	 754	A	 21	N	 1	  71.00	    167.8100	van Eijden	Planktonic Foraminifers                      	               	                  	.3%                    	                            	                       	                            	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

  SR	                 	                 	                  	              	121	 754	A	 21	N	CC	   0.00	    168.8400	van Eijden	Planktonic Foraminifers                      	               	                  	25.0%                  	                            	                       	                            	                	                   	                         	                  	                  	                         	                       	additional species from ODP Leg 121 SR Chapter 3 Table 4 p 97

