Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Quadrum sissinghii	Micula decussata	Micula concava	Cribrosphaerella ehrenbergii	Cretarhabdus crenulatus	Ceratolithoides aculeus	Aspidolithus parcus parcus	Quadrum gothicum	Toweius pertusus	Sphenolithus anarrhopus	Placozygus sigmoides	Heliolithus kleinpellii	Fasciculithus tympaniformis	Fasciculithus thomasii	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus primus	Cruciplacolithus frequens	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus bidens	Zygrhablithus bijugatus	Toweius eminens	Fasciculithus involutus	Markalius inversus	Heliolithus riedelii	Chiasmolithus consuetus	Tribrachiatus orthostylus	Toweius crassus	Discoaster lodoensis	Coccolithus formosus	Campylosphaera dela	Chiasmolithus grandis	Sphenolithus radians	Ellipsolithus macellus	Coronocyclus nitescens	Discoaster barbadiensis	Clausicoccus fenestratus	Toweius gammation	Chiasmolithus solitus	Discoaster sublodoensis	Reticulofenestra dictyoda	Nannotetrina fulgens	Chiasmolithus gigas	Comment
  IR	Early Eocene     	Middle Eocene    	                  	NP14          		197	1204	A	  2	R	 1	  50.00	    772.0000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	                    	F                      	               	                       	                  	                    	                       	                         	R              	R                   	R                   	                   	R                    	                    	                      	                      	R                      	                        	                 	F                    	R                      	                         	                    	                   	       

  IR	Early Eocene     	Middle Eocene    	                  	NP14          		197	1204	A	  2	R	 3	  50.00	    775.0000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	F                      	               	                       	                  	                    	                       	                         	R              	F                   	R                   	R                  	R                    	                    	                      	                      	R                      	                        	                 	F                    	R                      	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP13          		197	1204	A	  2	R	CC	  22.00	    776.0900	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	F                      	               	                       	                  	                    	                       	                         	R              	F                   	R                   	R                  	R                    	R                   	                      	                      	R                      	                        	                 	F                    	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP13          		197	1204	A	  3	R	 1	  50.00	    781.6000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	                     	                    	R                      	               	                       	                  	                    	                       	                         	R              	F                   	R                   	R                  	R                    	R                   	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP13          		197	1204	A	  3	R	 3	  50.00	    784.6000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	R                      	               	                       	                  	                    	                       	                         	F              	F                   	R                   	R                  	R                    	R                   	                      	                      	                       	                        	R                	F                    	                       	                         	                    	                   	       

