Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia tumida	Globorotalia margaritae	Neogloboquadrina acostaensis	Globoturborotalita nepenthes	Globorotalia pseudomiocenica	Sphaeroidinellopsis seminulina	Dentoglobigerina altispira	Truncorotalia tosaensis	Globigerinoides fistulosus	Globigerinoides extremus	Truncorotalia truncatulinoides	Comment



  IR	                 	Pleistocene      	                  	Pt1b          	194	1195	A	  1	H	CC	  11.00	      4.7000	planks   	Planktonic Foraminifers                      	               	                  	                   	                       	                            	                            	                            	                              	                          	                       	                          	                        	F                             	N23. P.finalis present. No Gr.tosaensis

  IR	                 	Pleistocene      	                  	Pt1a          	194	1195	A	  2	H	CC	  16.00	     14.2500	planks   	Planktonic Foraminifers                      	               	                  	F                  	                       	                            	                            	                            	                              	                          	F                      	                          	                        	F                             	Mid N22. No P.finalis/Gds.extremus/fist.

  IR	                 	Pleistocene      	                  	Pt1a          	194	1195	A	  3	H	CC	  17.00	     23.6700	planks   	Planktonic Foraminifers                      	               	                  	                   	                       	                            	                            	                            	                              	                          	F                      	F                         	                        	F                             	Lower N22. No Gds.extremus. Gr.pertenuis present.

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1195	A	  4	H	CC	  15.00	     33.1400	planks   	Planktonic Foraminifers                      	               	                  	                   	                       	                            	                            	                            	                              	                          	R                      	R                         	R                       	                              	Top N21. No Gr.miocenica. Gr.trunc pres?contam?

  IR	                 	Late Pliocene    	PL4               	PL3           	194	1195	A	  5	H	CC	  15.00	     42.4400	planks   	Planktonic Foraminifers                      	               	                  	                   	                       	                            	                            	R                           	R                             	F                         	                       	                          	                        	                              	N20. No Gds.fistulosus.

  IR	                 	Late Pliocene    	PL4               	PL3           	194	1195	A	  6	H	CC	  20.00	     51.5500	planks   	Planktonic Foraminifers                      	               	                  	F                  	P                      	F                           	                            	F                           	                              	                          	                       	                          	                        	                              	Base N20. No G.nepenthes.

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1195	A	  7	H	CC	  19.00	     60.7900	planks   	Planktonic Foraminifers                      	               	                  	                   	R                      	F                           	R                           	                            	                              	                          	                       	                          	                        	                              	N19. G.puncticulata present.

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1195	A	  8	H	CC	  13.00	     71.1000	planks   	Planktonic Foraminifers                      	               	                  	F                  	P                      	                            	                            	                            	                              	                          	                       	                          	                        	                              	N19. Sa.dehiscens present.

  IR	Early Pliocene   	Late Miocene     	                  	Pl1a          	194	1195	A	  9	H	CC	  18.00	     80.9300	planks   	Planktonic Foraminifers                      	               	                  	F                  	                       	                            	                            	                            	                              	                          	                       	                          	                        	                              	N18. No Sa.dehiscens.

