Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochamminoides grzybowskii	Skolithos taxa	Recurvoidella lamella	Haplophragmoides walteri	Haplophragmoides sp. 2	Haplophragmoides suborbicularis	Bathysiphon  annulatus	Nothia latissima	Karrerulina conversa	Bathysiphon sp. 1	Haplophragmoides porrectus	Nothia excelsa	Ammodiscus tenuissima	Spiroplectammina spectabilis	Saccammina placenta	Rhabdammina sp.	Hyperammina elongata	Trochamminopsis sp.	Nothia robusta	Reticulophragmium sp.	Reophax difflugiformis	Cribrostomoides sp.	Nubecularia lucifuga	Trochammina deformis	Ammolagena clavata	Rhabdammina abyssorum	Paratrochamminoides heteromorphus	Bathysiphon capillaris	Recurvoides sp. 1	Hyperammina rugosa	Reophax nodulosa	Cribrostomoides subglobosus	Rhizammina? indivisa	Psammosphaera fusca	Haplophragmoides cf. kirki	Reticulophragmium amplectens	Haplophragmoides horridus	Conotrochammina sp.	Ammodiscus incertus	Haplophragmoides sp. 1	Paratrochammina challengeri	Reophax elongatus	Praecystammina sp.	Saccammina sphaerica	Bathysiphon filiformis	Comment



  SR	                 	                 	up. R. abyssorum  	              	151	 913	B	 19	W	 2	  11.00	    376.8100	Spiegler 	Benthic Foraminifers                         	               	                  	                           	              	                     	                        	                      	                               	                      	                	                    	                 	                          	              	                     	                            	                   	               	                    	                   	              	                     	                      	                   	                    	                    	                  	R                    	                                 	                      	                 	                  	                	                           	                    	                   	                          	                            	                         	                   	                   	                      	                           	                 	                  	                    	                      	From Leg 151SR; Ch 9; Table 2; pp. 175-179

  SR	                 	                 	up. R. abyssorum  	              	151	 913	B	 20	R	CC	  10.00	    427.9700	Spiegler 	Benthic Foraminifers                         	               	                  	                           	              	                     	                        	                      	                               	                      	                	                    	                 	                          	              	                     	                            	                   	               	                    	                   	              	                     	                      	                   	                    	                    	                  	R                    	                                 	                      	                 	                  	                	                           	                    	                   	                          	                            	                         	                   	                   	                      	                           	                 	                  	                    	                      	From Leg 151SR; Ch 9; Table 2; pp. 175-179

  SR	                 	                 	up. R. abyssorum  	              	151	 913	B	 21	R	 1	  11.00	    433.2100	Spiegler 	Benthic Foraminifers                         	               	                  	                           	              	                     	                        	                      	                               	                      	                	                    	                 	                          	              	                     	                            	                   	               	                    	                   	              	                     	                      	                   	                    	                    	                  	R                    	                                 	                      	                 	                  	                	                           	                    	                   	                          	                            	                         	                   	                   	                      	                           	                 	                  	                    	                      	From Leg 151SR; Ch 9; Table 2; pp. 175-179

  SR	                 	                 	up. R. abyssorum  	              	151	 913	B	 21	R	 3	  13.00	    436.2300	Spiegler 	Benthic Foraminifers                         	               	                  	                           	              	                     	                        	                      	                               	                      	                	                    	                 	                          	              	                     	                            	                   	               	                    	                   	              	                     	                      	                   	                    	                    	                  	C                    	                                 	                      	                 	                  	                	                           	                    	                   	                          	                            	                         	                   	                   	                      	                           	                 	                  	                    	                      	From Leg 151SR; Ch 9; Table 2; pp. 175-179

