Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  1,H,CC,  20.00,      4.8900,Watanabe ,Nannofossils                                 ,               ,                  ,                         ,+                ,       
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1252,A,  2,H,CC,  25.00,     14.8800,Watanabe ,Nannofossils                                 ,               ,                  ,+                        ,+                ,       
,,,,,,,,,,,,,,,,,,,
