taxon_name,taxon_group
"Paragloborotalia mayeri (Cushman & Ellisor, 1939 p.11, pl.2, figs.4a-c as Globorotalia)",planktic_forams
Acarinina pseudosubsphaerica,planktic_forams
Unnamed: 67,radiolarians
Fragilariopsis laqueus,diatoms
Florentinia mantellii,dinoflagellates
Calocycletta serrata,radiolarians
Lenticulina calcar,benthic_forams
Rectuvigerina rerensis,benthic_forams
"Subbotina triangularis (White), 1928",planktic_forams
Lamprocyrtis heteroporos,radiolarians
"Catapsydrax unicavus Bolli, Loeblich & Tappan, 1957 p.37, pl.7, figs.9a-c",planktic_forams
Vaginulinopsis spinulosa,benthic_forams
Nannotetrina cristata,nannofossils
Anomalina aotea,benthic_forams
Theocorythium vetulum,radiolarians
Edentostomina sp.,benthic_forams
Bolivina finlayi,benthic_forams
Phormocyrtis cubensis,radiolarians
Biantholithus? flosculus,nannofossils
Globigerina bulloides,planktic_forams
Schematophora speciosa,dinoflagellates
Coscinodiscus asteromphalus,diatoms
Truncorotalia truncatulinoides,planktic_forams
Palaeoperidinium pyrophorum,dinoflagellates
Pseudohastigerina naguewichiensis,planktic_forams
Globorotalia limbata _B,planktic_forams
Hystrichokolpoma truncatum,dinoflagellates
Globorotalia pseudomiocenica _T_ _PL6_,planktic_forams
Tenuitella munda,planktic_forams
Praeorbulina curva _B,planktic_forams
Hantkenina spp.,planktic_forams
Helicosphaera walbersdorfensis,nannofossils
Dactylacanthis rara,diatoms
Rotalia wanganuiensis,benthic_forams
Coccolithus pelagicus,nannofossils
Blackites spinosus,nannofossils
Sphenolithus spiniger,nannofossils
Didymocyrtis antepenultima,radiolarians
Apteodinium spiridoides,dinoflagellates
Fohsella peripheroacuta _B_,planktic_forams
Morozovella conicotruncata,planktic_forams
Sphaeroidinella dehiscens,planktic_forams
Bolivina punctatostriata,benthic_forams
Polymorphina waitakiensis,benthic_forams
Denticulopsis crassa,diatoms
Gaudryina minuscula,benthic_forams
Discoaster wemmelensis,nannofossils
"Catapsydrax globiformis (Blow and Banner), 1962 p 108-109 pl XIV figs S-U as Globigerinita",planktic_forams
Eggerella columna,benthic_forams
Unnamed: 83,radiolarians
Stictodiscus hardmanianus,diatoms
Naviculopsis constricta,silicoflagellates
Thalassiosira webbii,diatoms
Elphidium charlottensis ,benthic_forams
"Chiloguembelina trinitatensis (Cushman & Renz), 1942",planktic_forams
Pseudoglobigerinella bolivariana,planktic_forams
Subbotina velascoensis,planktic_forams
Lithodesmium minusculum,diatoms
Globorotaloides variabilis,planktic_forams
Catapsydrax dissimilis,planktic_forams
Hemidiscus cuneiformis,diatoms
Rectuvigerina clifdenensis,benthic_forams
Dictyocha pentagona,silicoflagellates
Neococcolithes protenus,nannofossils
Igorina tadjikistanensis,planktic_forams
"Cerebrocysta ""large""",dinoflagellates
Rectuvigerina ongleyi,benthic_forams
Hantkenina liebusi,planktic_forams
Shionodiscus oestrupii,diatoms
Kisseleviella ezoensis,diatoms
Denticulopsis okunoi,diatoms
Praeorbulina sicana _T and B_ _M5a,planktic_forams
Morozovella occlusa,planktic_forams
"""Globigerina"" ciperoensis _T_",planktic_forams
Sigmavirgulina cf. tortuosa,benthic_forams
Turborotalia cunialensis,planktic_forams
"Turborotalia ampliapertura Bolli, 1957",planktic_forams
Paucisphaeridium spp.,dinoflagellates
Carpocanopsis cristata,radiolarians
Praeorbulina sicana _T and B_ _M5a_,planktic_forams
"Morozovella acuta (Toulmin), 1941",planktic_forams
"Globigerinatheka tropicalis (Blow & Banner), 1962",planktic_forams
Discoaster deflandrei,nannofossils
Acarinina topilensis,planktic_forams
Dentoglobigerina taci,planktic_forams
Thalassiosira insigna/inura trans,diatoms
Reticulofenestra minutula,nannofossils
Zeauvigerina waiparaensis,planktic_forams
Proboscia barboi,diatoms
Vaginulinopsis hochstetteri,benthic_forams
Globoturborotalita ouachitaensis,planktic_forams
Denticulopsis dimorpha var. areolata,diatoms
Fragilariopsis vanheurckii,diatoms
Trinacria spp.,diatoms
Rocella vigilans var. B,diatoms
Podocyrtis sinuosa,radiolarians
Rectobolivina maoriella,benthic_forams
Nonionella novazealandica,benthic_forams
Parasubbotina aff. pseudobulloides,planktic_forams
Spiniferites ramosus,dinoflagellates
Deflandrea phosphoritica,dinoflagellates
Mississippina concentrica,benthic_forams
Vozzhennikovia apertura,dinoflagellates
Nonionella iridea,benthic_forams
Bolivinita quadrilatera ,benthic_forams
Theocotylissa alpha,radiolarians
Markalius inversus,nannofossils
Theocyrtis setanios,radiolarians
Globigerinatheka euganea,planktic_forams
Siphonina australis,benthic_forams
Eoglobigerina edita,planktic_forams
Calcidiscus tropicus,nannofossils
Melonis maorica,benthic_forams
Zeauvigerina virgata,planktic_forams
Delphineis spp.,diatoms
Paucisphaeridium boiae,dinoflagellates
"Globigerinatheka mexicana Cushman, 1925",planktic_forams
Actinocyclus curvatulus,diatoms
Uvigerina hispida,benthic_forams
Discoaster binodosus,nannofossils
Biddulphia spp.,diatoms
Acarinina quetra,planktic_forams
Thalassiphora delicata,dinoflagellates
Tristix sp.,benthic_forams
Tetralithoides quadrilaminata,nannofossils
Denticulopsis barronii,diatoms
Ammobaculites agglutinans,benthic_forams
Stellarima microtrias,diatoms
Subbotina corpulenta (Subbotina) 1953 p 76-78 pl IX figs 5-7 pl X figs 2-4,planktic_forams
Triquetrorhabdulus striatus,nannofossils
Pontosphaera versa,nannofossils
Hemiaulus caracteristicus,diatoms
Trochammina inflata,benthic_forams
Cibicides pseudoconvexus,benthic_forams
Theocorys puriri,radiolarians
Thyrsocyrtis rhizodon,radiolarians
Fragilariopsis matuyamae var. heteropola,diatoms
calcispheres,nannofossils
Discoaster lenticularis,nannofossils
Podocyrtis fasciolata,radiolarians
Bolivinita pseudocompressa,benthic_forams
Thalassiosira torokina,diatoms
"Guembelitrioides nuttalli (Hamilton, 1953)",planktic_forams
Euuvigerina maynei,benthic_forams
Lenticulina mamilligera,benthic_forams
Globorotaloides eovariabilis,planktic_forams
Mutabella mirabilis,planktic_forams
Cribrorotalia keari,benthic_forams
Schematophora obscura,dinoflagellates
Cymatosira praecompacta,diatoms
Lamprocyrtis neoheteroporos,radiolarians
"Acarinina aspensis Colom, 1954",planktic_forams
Gephyrocapsa spp. (medium 4-5.5 microns),nannofossils
Achnanthes brevipes,diatoms
Thalassiosira trifulta,diatoms
Globorotalia flexuosa _T and B_,planktic_forams
"Subbotina velascoensis (Cushman), 1925",planktic_forams
Hayella situliformis,nannofossils
Streptochilus globigerum,planktic_forams
Globoconella miotumida (DEX),planktic_forams
Globoconella triangula,planktic_forams
Tribrachiatus absidatus,nannofossils
Fohsella lenguaensis _T and B_ _M14_,planktic_forams
Thalassiosira tumida,diatoms
Siphotextularia acutangula,benthic_forams
Globocassidulina pseudocrassa,benthic_forams
Discoaster backmanii,nannofossils
Truncorotalia crassaformis (DEX),planktic_forams
Podocyrtis helenae,radiolarians
Gephyrocapsa caribbeanica,nannofossils
Microhedbergella rischi,planktic_forams
Spiniferites pseudofurcatus,dinoflagellates
Parvularugoglobigerina alabamensis,planktic_forams
Cibicides molestus,benthic_forams
Calcidiscus pacificanus,nannofossils
Globigerinoides altiaperturus _B_,planktic_forams
Helicosphaera hyalina,nannofossils
Acarinina africana,planktic_forams
Tappanina glaessneri,benthic_forams
Haeuslerella finlayi,benthic_forams
Sphenolithus orphanknollensis,nannofossils
Impletosphaeridium spp.,dinoflagellates
Triquetrorhabdulus milowii,nannofossils
Morozovelloides coronatus,planktic_forams
Deflandrea sp. A,dinoflagellates
Calcidiscus quadriperforatus,nannofossils
Laevidentalina aphelis,benthic_forams
