Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus sp. cf. Z. erectus	Zeugrhabdotus embergeri	Watznaueria supracretacea	Watznaueria barnesae	Tranolithus gabalus	Tranolithus exiguus	Tegumentum stradneri	Rhagodiscus angustus	Percivillia hauxtonensis	Manivitella pemmatoidea	Helicolithus trabeculatus	Glaukolithus diplogrammus	Eprolithus floralis	Eiffellithus turriseiffelii (form 2)	Discorhabdus ignotus	Cribrosphaerella ehrenbergii	Corollithion signum	Chiastozygus platyrhethus	Biscutum constans	Axopodorhabdus albianus	Aspidolithus bevieri	Zeugrhabdotus elegans	Prediscosphaera columnata (<5 microns)	Watznaueria ovata	Vekshinella stradnerii	Stoverius achylosus	Rhagodiscus asper	Radiolithus planus	Parhabdolithus melanoarachnion	Gephyrorhabdus coronadventis	Gartnerago nanum	Broinsonia dentata	Biscutum salebrosum	Rotelapillus laffittei	Cretarhabdus surirellus	Cretarhabdus conicus	Stradneria crenulata	Cyclagelosphaera margerelii	Parhabdolithus achylostaurion	Zeugrhabdotus acanthus	Scampanella cornuta	Prediscosphaera columnata (>5 microns)	Stoverius baldiae	Prediscosphaera cantabrigensis	Prediscosphaera avitus	Lithraphidites carniolensis	Tetrapodorhabdus decorus	Eiffellithus turriseiffelii (form 3)	Microrhabdulus belgicus	Glaukolithus bicrescenticus	Comment



  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  6	R	 1	  39.00	    123.7900	Shafik   	Nannofossils                                 	R              	M                 	C                               	                       	F                        	A                   	                   	F                  	R                   	R                   	                        	                       	                         	F                        	R                  	R                                   	                    	F                           	                   	R                        	F                	                       	                    	C                    	                                      	                 	F                     	                   	                 	                  	                              	                            	R               	                  	                   	                      	                       	                    	                    	                           	R                            	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  6	R	CC	   0.00	    123.8200	Shafik   	Nannofossils                                 	R              	M                 	C                               	                       	                         	C                   	                   	F                  	                    	F                   	                        	R                      	                         	F                        	R                  	F                                   	R                   	F                           	R                  	                         	F                	                       	                    	C                    	                                      	                 	F                     	R                  	                 	                  	F                             	                            	                	                  	                   	R                     	                       	R                   	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  7	R	CC	   0.00	    133.4700	Shafik   	Nannofossils                                 	R              	P                 	C                               	R                      	                         	C                   	                   	R                  	                    	R                   	                        	R                      	                         	                         	R                  	F                                   	                    	R                           	                   	                         	C                	                       	                    	C                    	                                      	                 	F                     	                   	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	F                   	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  8	R	CC	  11.00	    142.8100	Shafik   	Nannofossils                                 	R              	P                 	                                	                       	                         	C                   	                   	                   	                    	                    	                        	                       	                         	                         	                   	                                    	                    	                            	                   	                         	                 	                       	                    	C                    	                                      	                 	                      	                   	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2
