Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites lenzii	Florentinia resex	Palaeohystrichophora infusoriodes	Oligosphaeridium pulcherrimum	Oligosphaeridium complex	Trichodinium castanea bifidum	Spiniferites ramosus ramosus	Florentinia radiculata	Spiniferites ramosus	Oligosphaeridium dividuum	Pterospermopsis sp.	Exochosphaeridium bifidum	Cribroperidinium cf. C. auctificum	Acritarch forma B	Cribroperidinium cooksoniae	Achomosphaera triangulata	Spiniferites spp.	Exochosphaeridium? sp.	Circulodinium distinctum	Pervosphaeridium truncatum	Dinopterygium cladoides	Comment



  SR	Cenomanian       	                 	                  	              	159	 962	D	 18	R	 2	  66.00	    241.2600	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	+                        	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 19	R	 2	  39.00	    250.6900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	+                           	+                     	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 21	R	 2	   3.00	    269.3500	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	+                         	+                      	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 24	R	 2	  41.00	    298.9100	Oboh-Ikuenobe	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	+                	+                     	+                       	                          	                       	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 24	R	 2	 119.00	    299.6900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	+                        	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 26	R	 1	  90.00	    307.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	+                           	                      	                    	+                        	                   	                         	                                  	                 	                           	+                        	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 26	R	 2	 120.00	    309.3000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	                         	                   	                         	                                  	                 	+                          	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

