leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
60,459,B,UPPER PLEISTOCENE,,0.0,36.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
60,459,B,LOWER PLEISTOCENE,,36.0,45.5,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
60,459,B,PLIOCENE,,45.5,55.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
60,459,B,LOWER PLIOCENE,UPPER MIOCENE,55.0,64.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
60,459,B,MIDDLE MIOCENE,,64.5,226.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
60,459,B,LOWER MIOCENE,,226.0,435.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
60,459,B,LOWER MIOCENE,UPPER OLIGOCENE,435.0,454.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
60,459,B,UPPER OLIGOCENE,,454.0,539.5,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
60,459,B,LOWER OLIGOCENE,,539.5,541.0,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
60,459,B,UPPER EOCENE,,541.0,549.0,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
60,459,B,UPPER EOCENE,MIDDLE EOCENE,549.0,558.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 37.5,   49,43.25,DSDP INITIAL REPORTS
