Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum (6-sided)	Distephanus crux	Naviculopsis biapiculata	Distephanus speculum speculum (6-sided; multiwindowed)	Dictyocha pentagona	Corbisema archangelskiana	Bachmannocena apiculata (no basal spines)	Bachmannocena apiculata	Distephanus raupii	Distephanus speculum speculum (eight-sided)	Distephanus speculum speculum (7-sided)	Distephanus speculum pentagonus	Distephanus polyactis polyactis	Dictyocha messanensis stapedia (fibulid)	Bachmannocena diodon	Bachmannocena circulus	Distephanus speculum speculum f. varians	Distephanus speculum speculum f. notabilis	Distephanus boliviensis (multiwindowed)	Distephanus boliviensis	Dictyocha messanensis stapedia (asperid)	Comment



  SR	Pleistocene      	                 	D. speculum speculum	              	120	 747	A	  1	H	 6	  47.00	      7.9700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	88                                     	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Late Pliocene    	                 	D. speculum speculum	              	120	 747	A	  2	H	 4	  47.00	     13.9700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	228                                    	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	3                              	                               	65                                      	                    	                      	                                        	                                          	                                       	                       	4                                       	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Late Pliocene    	                 	D. speculum speculum	              	120	 747	A	  3	H	 2	  47.00	     20.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3                                      	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	1                                       	                    	                      	                                        	                                          	                                       	                       	                                        	Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Pliocene   	                 	D. speculum speculum	              	120	 747	A	  3	H	 6	  47.00	     26.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	271                                    	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	3                                      	9                              	                               	                                        	                    	                      	2                                       	                                          	1                                      	1                      	                                        	Number of aberrants = 2; from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Pliocene   	                 	D. pseudofibula   	              	120	 747	A	  4	H	 4	  48.00	     32.9800	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                      	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	                                        	18                  	                      	1                                       	1                                         	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

