Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotaloides hexagona	Globorotalia puncticulata	Globorotalia margaritae	Globorotalia crassula	Globorotalia crassaformis crassaformis	Globoquadrina altispira	Globigerinoides obliquus obliquus	Globigerinita glutinata	Globigerina bulloides	Globorotalia scitula	Globorotalia miocenica	Globigerinoides trilobus	Globigerina decoraperta	Globigerinoides ruber (white)	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotalia exilis	Globigerinoides sacculifer	Globorotalia crassaformis viola	Sphaeroidinellopsis seminulina	Globigerinoides conglobatus	Globorotalia pertenuis	Globigerinoides obliquus extremus	Globigerina apertura	Neogloboquadrina dutertrei	Globigerinella obesa	Globorotalia inflata	Globigerinella aequilateralis	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globigerinoides ruber (pink)	Globigerina rubescens	Globigerina falconensis	Beella digitata	Sphaeroidinella dehiscens	Globorotalia tumida	Globorotalia truncatulinoides	Pulleniatina obliquiloculata	Globorotalia menardii	Globigerinoides tenellus	Globorotalia crassaformis hessi	Globigerinella calida	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 658	A	  1	H	CC	  25.00	      5.6400	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                	A                                    	                        	                         	                       	                     	                                      	                       	                                 	R                      	A                    	R                   	                      	R                       	                       	F                            	                         	                                      	                   	                          	                               	                              	                           	                      	                                 	                    	                          	                    	C                   	R                            	R                      	                                       	R                           	                     	                       	               	                         	                   	R                            	                            	                     	                        	                               	                     	from ODP Leg 108 SR Chapter 5 Table 4 p 78

  SR	                 	                 	G. truncatulinoides	              	108	 658	A	  3	H	CC	  16.00	     23.9300	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                	C                                    	                        	                         	                       	                     	R                                     	                       	                                 	R                      	A                    	R                   	                      	R                       	                       	F                            	                         	                                      	                   	R                         	                               	                              	                           	                      	                                 	                    	                          	                    	C                   	R                            	R                      	                                       	R                           	                     	                       	               	                         	                   	R                            	                            	R                    	                        	                               	R                    	from ODP Leg 108 SR Chapter 5 Table 4 p 78

  SR	                 	                 	G. truncatulinoides	              	108	 658	A	  4	H	CC	   1.00	     33.7100	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                	C                                    	                        	                         	                       	                     	R                                     	                       	                                 	R                      	A                    	                    	                      	R                       	                       	R                            	                         	                                      	                   	                          	                               	                              	                           	                      	                                 	                    	                          	                    	C                   	R                            	R                      	                                       	R                           	                     	R                      	               	                         	                   	R                            	                            	R                    	                        	                               	                     	age is uncertain from ODP Leg 108 SR Chapter 5 Table 4 p 78

  SR	                 	                 	G. truncatulinoides	              	108	 658	A	  5	H	CC	  14.00	     43.9200	Weaver   	Planktonic Foraminifers                      	A              	G                 	F                	C                                    	                        	                         	                       	                     	                                      	                       	                                 	R                      	C                    	R                   	                      	R                       	                       	F                            	                         	                                      	                   	                          	                               	                              	                           	                      	                                 	                    	R                         	                    	C                   	R                            	R                      	                                       	R                           	                     	R                      	               	                         	R                  	R                            	                            	                     	                        	R                              	                     	age is uncertain from ODP Leg 108 SR Chapter 5 Table 4 p 78
