Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina triloculinoides,Praemurica taurica,Parasubbotina varianta,Parasubbotina pseudobulloides,Globanomalina compressa,Eoglobigerina eobulloides,Eoglobigerina edita,Chiloguembelina midwayensis,Praemurica inconstans,Globoconusa daubjergensis,Eoglobigerina spiralis,Praemurica uncinata,Morozovella praeangulata,Morozovella conicotruncata,Globanomalina chapmani,Morozovella angulata,Subbotina velascoensis,Morozovella velascoensis,Subbotina hornibrooki,Globanomalina pseudomenardii,Acarinina subsphaerica,Subbotina triangularis,Morozovella occlusa,Morozovella acuta,Morozovella subbotinae,Acarinina soldadoensis,Acarinina primitiva,Subbotina patagonica,Morozovella gracilis,Chiloguembelina wilcoxensis,Acarinina coalingensis,Acarinina soldadoensis angulosa,Acarinina quetra,Subbotina linaperta,Morozovella marginodentata,Acarinina nitida,Acarinina broedermanni,Morozovella lensiformis,Morozovella formosa,Morozovella aequa,Pseudohastigerina micra,Morozovella aragonensis,Acarinina cuneicamerata,Acarinina pentacamerata,Turborotalia lozanoi,Globigerinatheka senni,Morozovella caucasica,Globigerinatheka subconglobata,Turborotalia griffinae,Subbotina inaequispira,Planorotalites pseudoscitulus,Acarinina bullbrooki,Globigerinatheka mexicana,Subbotina cryptomphala,Globigerinatheka kugleri,Acarinina spinuloinflata,Subbotina eocaena,Truncorotaloides topilensis,Turborotalia possagnoensis,Globigerina venezuelana,Truncorotaloides rohri,Subbotina hagni,Morozovella spinulosa,Guembelitrioides higginsi,Chiloguembelina cubensis,Subbotina frontosa,Morozovella lehneri,Hantkenina dumblei,Globigerinatheka index,Acarinina densa,Turborotalia pseudomayeri,Subbotina praeturritilina,Catapsydrax dissimilis,Turborotalia pomeroli,Globigerina corpulenta,Subbotina venezuelana,Turborotalia cerroazulensis,Globigerinatheka beckmanni,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,A,  2,H,CC,  27.00,     15.2500,Bellier  ,Planktonic Foraminifers                      ,C              ,M                 ,                         ,                  ,                      ,                             ,                       ,                         ,                   ,                           ,                     ,                         ,                      ,                   ,                        ,                          ,                      ,                    ,                      ,                        ,                     ,                            ,                      ,                      ,                   ,                 ,                      ,                      ,                   ,                    ,                    ,                           ,                      ,                               ,                ,F                  ,                          ,                ,                      ,                       ,                   ,                 ,R                      ,                       ,                       ,                       ,                    ,                      ,                     ,                              ,                      ,                      ,                             ,R                   ,R                        ,                      ,                        ,                        ,                 ,                           ,                          ,                       ,R                     ,               ,P                    ,                         ,                        ,                  ,                   ,                  ,                      ,               ,                         ,P                        ,A                     ,                     ,                      ,                     ,R                          ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,A,  3,H,CC,  23.00,     25.3200,Bellier  ,Planktonic Foraminifers                      ,C              ,M                 ,                         ,                  ,                      ,                             ,                       ,                         ,                   ,                           ,                     ,                         ,                      ,                   ,                        ,                          ,                      ,                    ,                      ,                        ,                     ,                            ,                      ,                      ,                   ,                 ,                      ,                      ,                   ,                    ,                    ,                           ,                      ,                               ,                ,F                  ,                          ,                ,                      ,                       ,                   ,                 ,                       ,                       ,                       ,                       ,                    ,                      ,                     ,                              ,                      ,                      ,                             ,                    ,R                        ,                      ,                        ,                        ,                 ,                           ,                          ,R                      ,                      ,               ,                     ,                         ,                        ,                  ,                   ,                  ,                      ,               ,                         ,F                        ,F                     ,                     ,F                     ,                     ,R                          ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,A,  4,H,CC,  24.00,     34.5400,Bellier  ,Planktonic Foraminifers                      ,C              ,M                 ,                         ,                  ,                      ,                             ,                       ,                         ,                   ,                           ,                     ,                         ,                      ,                   ,                        ,                          ,                      ,                    ,                      ,                        ,                     ,                            ,                      ,                      ,                   ,                 ,                      ,                      ,                   ,                    ,                    ,                           ,                      ,                               ,                ,F                  ,                          ,                ,                      ,                       ,                   ,                 ,                       ,                       ,                       ,                       ,                    ,                      ,                     ,                              ,                      ,                      ,                             ,R                   ,R                        ,                      ,                        ,                        ,                 ,                           ,                          ,F                      ,                      ,               ,                     ,                         ,                        ,                  ,                   ,                  ,                      ,               ,                         ,F                        ,F                     ,                     ,                      ,                     ,R                          ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1051,A,  5,H,CC,  19.00,     44.0900,Bellier  ,Planktonic Foraminifers                      ,C              ,M                 ,                         ,                  ,                      ,                             ,                       ,                         ,                   ,                           ,                     ,                         ,                      ,                   ,                        ,                          ,                      ,                    ,                      ,                        ,                     ,                            ,                      ,                      ,                   ,                 ,                      ,                      ,                   ,                    ,                    ,                           ,                      ,                               ,                ,F                  ,                          ,                ,                      ,                       ,                   ,                 ,                       ,                       ,                       ,                       ,                    ,                      ,                     ,                              ,                      ,                      ,                             ,                    ,F                        ,                      ,                        ,                        ,                 ,                           ,                          ,R                      ,                      ,               ,R                    ,                         ,                        ,                  ,                   ,                  ,                      ,               ,                         ,F                        ,F                     ,                     ,                      ,                     ,F                          ,                          ,       
