Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Reticulofenestra umbilica	Reticulofenestra samodurovii	Pseudotriquetrorhabdulus inversus	Pedinocyclus larvalis	Markalius sp. 2	Markalius sp. 1	Markalius inversus	Lanternithus minutus	Holococcolith type A	Helicosphaera heezenii	Ericsonia pacifica	Ericsonia formosa	Discoaster saipanensis	Discoaster deflandrei	Discoaster barbadiensis	Cyclolithella kalianata	Cyclicargolithus floridanus	Cruciplacolithus tarquinius	Cribrocentrum reticulatum	Coccolithus sp.1	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus grandis	Campylosphaera dela	Calcidiscus protoannulus	Calcidiscus kingii	Bramletteius serraculoides	Pemma rotundum	Discoaster nodifer	Braarudosphaera bigelowii	Discoaster tanii	Pontosphaera segmenta	Sphenolithus predistentus	Micrantholithus flos	Helicosphaera reticulata	Helicosphaera euphratis	Dictyococcites scrippsae	Dictyococcites bisectus	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Sphenolithus distentus	Sphenolithus ciperoensis	Ericsonia obruta	Coccolithus fuscus	Sphenolithus dissimilis	Triquetrorhabdulus milowii	Sphenolithus heteromorphus	Sphenolith (unspecified taxon or taxa)	Scyphosphaera spp.	Reticulofenestrid taxa	Helicosphaera carteri	Hayella aperta	Geminilithella rotula	Discoaster variabilis	Discoaster undefined 6-ray b.	Discoaster signus-tuberi	Discoaster moorei	Discoaster extensus-dilatus group	Discoaster exilis	Discoaster adamanteus	Dictyococcites spp.	Coccolithus radiatus	Thoracosphaera spp.	Pontosphaera spp.	Discoaster formosus	Helicosphaera obliqua	Helicosphaera intermedia	Cyclicargolithus abisectus (< 10 microns)	Coccolithus miopelagicus	Calcidiscus leptoporus	Discoaster undefined 6-ray m.	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus/rioensis	Syracosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster undefined 5-ray	Discoaster triradiatus	Discoaster intercalaris	Discoaster hamatus	Discoaster brouweri	Catinaster coalitus	Calcidiscus macintyrei	Discoaster undefined 6-ray	Discoaster pansus	Discoaster neohamatus	Discoaster bellus	Catinaster calyculus	Minylitha convallis	Discoaster surculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Umbilicosphaera spp.	Discoaster sp. 1	Discoaster quinqueramus/berggrenii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster sp. 2	Discoaster asymmetricus	Rhabdosphaera spp.	Discoaster tristellifer	Ceratolithus rugosus	Amaurolithus tricorniculatus	Ceratolithus armatus	Ceratolithus acutus	Helicosphaera sellii	Pseudoemiliania lacunosa	Discoaster decorus	Discoaster tamalis	Ceratolithus cristatus	Comment



  SR	                 	                 	CN12a             	              	115	 712	A	  1	R	 1	  70.00	      0.7000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	R                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	C                     	F                    	              	C                    	                     	                             	                        	                 	                                 	                 	                     	                   	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	C                 	                                	                          	R                     	F                      	                  	C                  	                   	F                     	                          	                 	R                    	                 	                    	                   	                   	                           	C                       	                    	                	                                  	                   	                      	                       	                	F                      	                  	                       	R                   	                            	                    	                   	R                   	C                       	R                 	R                 	R                     	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 712	A	  1	R	 2	  70.00	      2.2000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	                                      	                  	C                     	C                    	              	C                    	C                    	R                            	                        	                 	                                 	                 	                     	                   	F                   	F                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	C                 	                                	F                         	R                     	F                      	                  	C                  	                   	R                     	F                         	                 	                     	                 	                    	                   	F                  	                           	C                       	                    	                	                                  	                   	                      	                       	                	F                      	                  	                       	R                   	                            	                    	                   	R                   	C                       	F                 	R                 	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 712	A	  1	R	 3	  50.00	      3.5000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	R                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	                  	C                     	C                    	              	C                    	F                    	R                            	                        	                 	                                 	                 	                     	                   	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	C                 	                                	F                         	R                     	R                      	                  	C                  	                   	R                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	                   	                      	                       	                	F                      	                  	                       	R                   	                            	                    	                   	F                   	C                       	R                 	R                 	R                     	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 712	A	  1	R	 4	  70.00	      5.2000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	R                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	C                    	R                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	F                 	C                               	C                         	R                     	R                      	                  	C                  	                   	F                     	R                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	                   	                      	                       	                	R                      	                  	cf                     	R                   	                            	                    	                   	R                   	F                       	R                 	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.
