taxon_group,verbatim_name,genus name,species name,subspecies name,species modifier,non-taxa descriptor,subspecies modifier,genus modifier
diatoms,Actinocyclus ingens nodus,Actinocyclus,ingens,nodus,,,,
diatoms,Actinocyclus senarius,Actinocyclus,senarius,,,,,
diatoms,Actinocyclus vulgaris,Actinocyclus,vulgaris,,,,,
diatoms,Aulacoseira sp.,Aulacoseira,sp.,,,,,
dinoflagellates,Impagidinium spp.,Impagidinium,spp.,,,,,
nannofossils,Coccolithus streckeri,Coccolithus,streckeri,,,,,
nannofossils,Discoaster spp. (six-rayed),Discoaster,spp.,,,(six-rayed),,
nannofossils,Reticulofenestra sp.,Reticulofenestra,sp.,,,,,
planktic_forams,Globoconella explicationis,Globoconella,explicationis,,,,,
planktic_forams,Parasubbotina griffinae,Parasubbotina,griffinae,,,,,
planktic_forams,Tenuitella sp.,Tenuitella,sp.,,,,,
planktic_forams,Tenuitella spp.,Tenuitella,spp.,,,,,
radiolarians,Dorcadospyris scambos,Dorcadospyris,scambos,,,,,
silicoflagellates,Distephanus boliviensis,Distephanus,boliviensis,,,,,
