taxon_group,verbatim_name,genus name
benthic_forams,Calc. Hyaline Foram. gen. et sp. indet.,Calc.
diatoms,Gen. et sp. indet,Gen.
dinoflagellates,O. centrocarpum var. Arctic,O.
dinoflagellates,O. centrocarpum var. short processes,O.
dinoflagellates,O. centrocarpum-Arctic morphotype,O.
nannofossils,C. abisectus,C.
nannofossils,C. braarudii,C.
nannofossils,C. floridanus,C.
nannofossils,C. leptoporus,C.
nannofossils,C. leptoporus (small),C.
nannofossils,C. pelagicus,C.
nannofossils,Ch. altus,Ch.
nannofossils,Ch. oamaruensis,Ch.
nannofossils,E. huxleyi,E.
nannofossils,I. recurvus,I.
nannofossils,P. lacunosa,P.
nannofossils,R. bisecta,R.
nannofossils,R. minuta,R.
nannofossils,R. minuta + R.minutula gr.,R.
nannofossils,R. minuta/D.productus,R.
nannofossils,R. minutula,R.
nannofossils,R. minutula/D.antarcticus,R.
nannofossils,R. oamaruensis,R.
nannofossils,R. pseudoumbilicus gr.,R.
nannofossils,R. pseudoumbilicus/R.gelida,R.
nannofossils,R. pseudoumblicus/R.gelida,R.
nannofossils,R. umbilicus,R.
silicoflagellates,Dic. subarctios,Dic.
silicoflagellates,Dis. Medianoctisol,Dis.
silicoflagellates,Dis. Medianoctisol (with short radial spines),Dis.
silicoflagellates,Dis. octangulatus,Dis.
silicoflagellates,Dis. octonarius,Dis.
silicoflagellates,Dis. speculum,Dis.
silicoflagellates,Dis. speculum (with short radial spines),Dis.
