pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_name,genus_taxon_id,family_taxon_name,family_taxon_id,order_taxon_name,order_taxon_id,class_taxon_name,class_taxon_id,phylum_taxon_name,phylum_taxon_id,kingdom_taxon_name,kingdom_taxon_id,version,pbdb_name_count
418920,Coccolithophyceae,class,Coccolithophyceae,418920,,,,,,,Haptophyta,87644,,,updated,2
55296,Corylus,genus,Corylus,55296,Betulaceae,54589,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55296,Corylus,genus,Corylus,55296,Betulaceae,54589,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
55672,Crassulaceae,family,,,Crassulaceae,55672,Saxifragales,182995,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55672,Crassulaceae,family,Crassulaceae,55672,,,Saxifragales,182995,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
54792,Cupressaceae,family,,,Cupressaceae,54792,Coniferales,55868,,,Coniferophyta,56176,Plantae,54311,old,2
54792,Cupressaceae,family,Cupressaceae,54792,,,Coniferales,55868,,,Coniferophyta,56176,Plantae,54311,updated,2
53543,Cyperaceae,family,,,Cyperaceae,53543,Poales,182987,,,Angiospermae,54885,Plantae,54311,old,2
53543,Cyperaceae,family,Cyperaceae,53543,,,Poales,182987,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
481,Cyrtocapsella,genus,Cyrtocapsella,481,Eucyrtiidae,66335,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,old,2
481,Cyrtocapsella,genus,Cyrtocapsella,481,Eucyrtidiidae,87060,Nassellaria,402,,,Radiolaria,4,Rhizaria,212476,updated,2
419026,Daphne,genus,Daphne,419026,Thymelaeaceae,55607,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
419026,Daphne,genus,Daphne,419026,Thymelaeaceae,55607,Malvales,54911,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
69592,Dictyochaceae,family,,,Dictyochaceae,69592,Phytomastigophora,69591,Chrysophyceae,69590,,,,,old,2
69592,Dictyochaceae,family,Dictyochaceae,69592,,,Phytomastigophora,69591,Chrysophyceae,69590,,,,,updated,2
354791,Dinoflagellata,superclass,,,,,,,,,Myzozoa,277918,,,old,2
354791,Dinoflagellata,superclass,Dinoflagellata,354791,,,,,,,Myzozoa,277918,,,updated,2
321578,Dinophyceae,class,,,,,,,Dinophyceae,321578,,,,,old,2
321578,Dinophyceae,class,Dinophyceae,321578,,,,,,,,,,,updated,2
429726,Discorboidea,superfamily,,,,,Rotaliida,279579,Globothalamea,428504,Foraminifera,288974,Rhizaria,212476,old,2
429726,Discorboidea,superfamily,Discorboidea,429726,,,Rotaliida,279579,Globothalamea,428504,Foraminifera,288974,Rhizaria,212476,updated,2
32733,Echinoidea,class,,,,,,,Echinoidea,32733,Echinodermata,30739,Animalia,325038,old,2
32733,Echinoidea,class,Echinoidea,32733,,,,,,,Echinodermata,30739,Animalia,325038,updated,2
82206,Elphidiidae,family,,,Elphidiidae,82206,,,,,Foraminifera,288974,Rhizaria,212476,old,2
82206,Elphidiidae,family,Elphidiidae,82206,,,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
54586,Engelhardia,genus,Engelhardia,54586,Juglandaceae,54584,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54586,Engelhardia,genus,Engelhardia,54586,Juglandaceae,54584,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
55506,Ericaceae,family,,,Ericaceae,55506,Ericales,54919,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
55506,Ericaceae,family,Ericaceae,55506,,,Ericales,54919,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
319873,Euphorbia,genus,Euphorbia,319873,Euphorbiaceae,53786,Malpighiales,183005,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
319873,Euphorbia,genus,Euphorbia,319873,Euphorbiaceae,53786,Malpighiales,183005,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434999,Filipendula,genus,Filipendula,434999,Rosaceae,54647,Rosales,54921,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434999,Filipendula,genus,Filipendula,434999,Rosaceae,54647,Rosales,54921,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
288974,Foraminifera,phylum,,,,,,,,,Foraminifera,288974,Rhizaria,212476,old,2
288974,Foraminifera,phylum,Foraminifera,288974,,,,,,,,,Rhizaria,212476,updated,2
54727,Fraxinus,genus,Fraxinus,54727,Oleaceae,54728,Lamiales,54939,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
54727,Fraxinus,genus,Fraxinus,54727,Oleaceae,54728,Lamiales,54939,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
322021,Galium,genus,Galium,322021,Rubiaceae,55784,Gentianales,54936,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
322021,Galium,genus,Galium,322021,Rubiaceae,55784,Gentianales,54936,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
8304,Gastropoda,class,,,,,,,Gastropoda,8304,Mollusca,7805,Animalia,325038,old,2
8304,Gastropoda,class,Gastropoda,8304,,,,,,,Mollusca,7805,Animalia,325038,updated,2
422423,Globorotalia (Hirsutella),subgenus,,,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,old,2
422423,Globorotalia (Hirsutella),subgenus,Globorotalia,1521,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
422437,Globorotalia (Menardella),subgenus,,,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,old,2
422437,Globorotalia (Menardella),subgenus,Globorotalia,1521,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
422428,Globorotalia (Truncorotalia),subgenus,,,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,old,2
422428,Globorotalia (Truncorotalia),subgenus,Globorotalia,1521,Globorotaliidae,82192,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
424029,Hayaster,genus,Hayaster,424029,Calcidiscaceae,419763,,,,,,,,,old,2
424029,Hayaster,genus,Hayaster,424029,Calcidiscaceae,419763,Coccosphaerales,443656,,,,,,,updated,2
424278,Hayella,genus,Hayella,424278,Calcidiscaceae,419763,,,,,,,,,old,2
424278,Hayella,genus,Hayella,424278,Calcidiscaceae,419763,Coccosphaerales,443656,,,,,,,updated,2
237725,Hedera,genus,Hedera,237725,Vitaceae,54706,Vitales,183002,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
237725,Hedera,genus,Hedera,237725,Araliaceae,55740,Apiales,54935,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434993,Helianthemum,genus,Helianthemum,434993,Cistaceae,55468,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
434993,Helianthemum,genus,Helianthemum,434993,Cistaceae,55468,Malvales,54911,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
60668,Holothuriidae,family,,,Holothuriidae,60668,Aspidochirotida,31262,Holothuroidea,31227,Echinodermata,30739,Animalia,325038,old,2
60668,Holothuriidae,family,Holothuriidae,60668,,,Aspidochirotida,31262,Holothuroidea,31227,Echinodermata,30739,Animalia,325038,updated,2
317976,Isoetes,genus,Isoetes,317976,Isoetaceae,54753,Isoetales,55160,,,Lycophyta,56099,Plantae,54311,old,2
317976,Isoetes,genus,Isoetes,317976,Isoetaceae,54753,Isoetales,55160,Lycopodiopsida,249950,Lycopodiophyta,249949,Plantae,54311,updated,2
54578,Liliaceae,family,,,Liliaceae,54578,Liliales,54972,,,Angiospermae,54885,Plantae,54311,old,2
54578,Liliaceae,family,Liliaceae,54578,,,Liliales,54972,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
434998,Lygeum,genus,Lygeum,434998,Poaceae,53546,Poales,182987,,,Angiospermae,54885,Plantae,54311,old,2
