Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia miotumida,Globorotalia conomiozea,Globorotalia conoidea,Globigerina bulloides,Orbulina universa,Globorotalia pliozea,Globorotalia juanai,Globorotalia crassaconica,Globigerina falconensis,Globoturborotalita apertura,Globigerinita glutinata,Globorotalia sphericomiozea,Globigerina quinqueloba,Globorotalia puncticulata,Globorotalia crassaformis,Neogloboquadrina pachyderma,Globorotalia tosaensis,Globorotalia scitula,Globorotalia puncticuloides,Globorotalia inflata,Globorotalia crassula,Globigerinoides elongatus,Globigerinella aequilateralis,Globigerinella obesa,Globigerinella praecalida,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN14          ,189,1168,B,  1,H,CC,  21.00,      3.8900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,+                        ,                       ,                           ,+                      ,                           ,+                      ,                         ,+                        ,                           ,                      ,+                   ,                           ,+                   ,+                    ,                         ,                             ,+                   ,+                        ,+                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,B,  2,H,CC,  11.00,     12.8500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,+                        ,                       ,                           ,+                      ,                           ,+                      ,                         ,+                        ,                           ,                      ,+                   ,                           ,+                   ,+                    ,                         ,                             ,                    ,+                        ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,B,  3,H,CC,  28.00,     23.4400,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,+                                      ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,                         ,                       ,                           ,+                      ,                           ,+                      ,+                        ,+                        ,                           ,                      ,+                   ,                           ,+                   ,+                    ,                         ,+                            ,+                   ,                         ,                             ,Much fragmentation of the foram tests
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,B,  4,H,CC,  15.00,     32.2100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,                         ,                       ,                           ,+                      ,                           ,+                      ,+                        ,+                        ,                           ,                      ,+                   ,                           ,+                   ,+                    ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
