Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Orbulina universa,Neogloboquadrina continuosa,Globoquadrina dehiscens,Globoconella miozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinita juvenilis,Globigerinita glutinata,Globigerinella obesa,Neogloboquadrina pachyderma (dextral),Globorotalia puncticulata,Globorotalia crassaformis,Globigerina falconensis,Globorotalia margaritae,Globigerina quinqueloba,Globorotalia pliozea,Globigerinoides ruber,Globigerinoides conglobatus,Globigerina bulloides,Globorotalia scitula,Globorotalia tosaensis,Globorotalia inflata,Neogloboquadrina dutertrei,Globorotalia crassula,Globigerinella siphonifera,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1b          ,182,1129,D,  1,R,CC,   6.00,    282.3300,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,                         ,                         ,                       ,                       ,P                      ,                    ,                     ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,P                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1           ,182,1129,D,  2,R,CC,   8.00,    290.5700,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,                         ,                         ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,P                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,182,1129,D,  3,R, 1,  42.00,    373.6200,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,P                      ,                    ,                                     ,                         ,P                        ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1a          ,182,1129,D,  4,R,CC,   0.00,    383.1900,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,                         ,                         ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,P                     ,P                   ,                          ,                     ,                          ,                            ,P                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
