Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia scitula	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia mons	Globigerina bulloides	Globigerinella aequilateralis	Globigerina falconensis	Zeaglobigerina woodi	Globorotalia crassaformis	Globigerina quinqueloba	Globorotalia crassaconica	Globigerinoides ruber	Globorotalia inflata	Globorotalia puncticuloides	Globorotalia inflata triangula	Globorotalia crassula	Globorotalia crassaformis dextral	Dentoglobigerina altispira altispira	Neogloboquadrina humerosa	Globorotalia crassacarina	Globigerinoides extremus	Globorotalia truncatulinoides	Globorotalia sphericomiozea	Comment



  IR	                 	                 	                  	              	181	1125	A	  1	H	CC	  15.00	      4.2100	forams   	Planktonic Foraminifers                      	F              	P                 	R                	R                          	                            	P                   	                         	                    	                 	R                    	                             	P                      	                    	P                        	R                      	                         	                     	R                   	P                          	                              	                     	                                 	                                    	                         	                         	                        	P                            	D                          	       

  IR	                 	                 	                  	              	181	1125	A	  2	H	CC	  12.00	     13.3700	forams   	Planktonic Foraminifers                      	C              	G                 	                 	                           	                            	P                   	                         	                    	                 	R                    	                             	R                      	                    	R                        	F                      	                         	                     	F                   	F                          	                              	                     	                                 	                                    	                         	R                        	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	  4	H	CC	  13.00	     32.8300	forams   	Planktonic Foraminifers                      	C              	M                 	                 	R                          	                            	                    	                         	                    	                 	R                    	P                            	R                      	                    	R                        	R                      	                         	                     	A                   	                           	                              	                     	                                 	                                    	P                        	R                        	P                       	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	  5	H	CC	  11.00	     42.5800	forams   	Planktonic Foraminifers                      	A              	G                 	R                	A                          	                            	P                   	                         	                    	                 	A                    	P                            	                       	P                   	                         	                       	                         	                     	A                   	F                          	F                             	R                    	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	  6	H	CC	   0.00	     51.5700	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                           	                            	                    	R                        	                    	                 	                     	                             	                       	                    	P                        	                       	P                        	                     	R                   	R                          	R                             	R                    	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	  7	H	 6	  42.00	     59.7200	forams   	Planktonic Foraminifers                      	A              	VG                	P                	A                          	                            	                    	                         	                    	                 	A                    	P                            	                       	                    	                         	                       	                         	P                    	F                   	A                          	R                             	P                    	F                                	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	  7	H	CC	  28.00	     61.7700	forams   	Planktonic Foraminifers                      	A              	VG                	R                	F                          	                            	P                   	R                        	                    	                 	F                    	P                            	                       	                    	R                        	R                      	                         	P                    	F                   	A                          	P                             	P                    	F                                	P                                   	                         	                         	                        	                             	                           	       

