Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiroplectammina spectabilis	Rzehakina epigona	Lenticulina spp.	Glomospira charoides	Gavelinella beccariiformis	Dorothia sp.	Cribrostomoides trinitatensis	Bolivinopsis spectabilis	Arenobulimina dorbignyi	Anomalinoides piripaua	Reticulophragmium paupera	Oridorsalis umbonatus	Oolina spp.	Nuttallides florialis	Nuttallides carinotruempyi	Dorothia oxycona	Conotrochammina whangai	Valvulineria teuriensis	Pullenia bulloides	Hormosina ovulum	Charltonina acutimarginata	Allomorphina conica	Alabamina creta	Tritaxa spp.	Rhabdammina sp.	Comment



  IR	                 	                 	                  	              	181	1121	B	  3	H	CC	  10.00	     28.7800	forams   	Benthic Foraminifers                         	R              	M                 	T                           	F                	                	                    	                          	            	                             	                        	                       	                      	                         	                     	           	                     	                          	                	                       	                       	                  	                	                          	                   	               	T           	T              	       

  IR	                 	                 	                  	              	181	1121	B	 11	X	CC	   0.00	     87.1200	forams   	Benthic Foraminifers                         	T              	G                 	                            	R                	                	                    	R                         	            	                             	                        	                       	                      	                         	                     	           	                     	R                         	                	                       	                       	                  	                	                          	                   	               	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 12	X	CC	   5.00	     94.2600	forams   	Benthic Foraminifers                         	T              	G                 	R                           	                 	                	                    	                          	            	                             	                        	                       	                      	                         	                     	           	                     	                          	                	                       	                       	                  	                	                          	                   	               	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 13	X	CC	  34.00	    100.4400	forams   	Benthic Foraminifers                         	T              	G                 	                            	T                	T               	                    	R                         	            	                             	                        	                       	                      	                         	R                    	T          	                     	                          	                	                       	F                      	                  	                	R                         	                   	R              	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 14	X	CC	  51.00	    110.2100	forams   	Benthic Foraminifers                         	T              	G                 	                            	                 	                	                    	R                         	            	                             	                        	                       	                      	                         	                     	           	                     	                          	                	                       	                       	                  	                	T                         	                   	               	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 15	X	CC	  24.00	    122.2800	forams   	Benthic Foraminifers                         	F              	G                 	                            	R                	R               	T                   	C                         	            	                             	                        	                       	                      	T                        	R                    	           	                     	R                         	T               	R                      	F                      	R                 	T               	T                         	T                  	R              	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 16	X	CC	   0.00	    127.2000	forams   	Benthic Foraminifers                         	C              	G                 	T                           	T                	R               	T                   	C                         	            	                             	                        	                       	T                     	T                        	R                    	T          	F                    	C                         	T               	T                      	                       	                  	                	                          	                   	               	            	               	       

  IR	                 	                 	                  	              	181	1121	B	 17	X	CC	  25.00	    134.4200	forams   	Benthic Foraminifers                         	T              	M                 	T                           	T                	T               	T                   	T                         	T           	T                            	T                       	T                      	T                     	                         	                     	           	                     	                          	                	                       	                       	                  	                	                          	                   	               	            	               	       

