Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra sp. (small),Coccolithus pelagicus,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Coccolithus streckerii,Syracosphaera sp.,Pseudoemiliania lacunosa,Helicosphaera carteri,Coccolithus sp.,Calcidiscus leptoporus,Pontosphaera pacifica,Pontosphaera sp.,Thoracosphaera heimii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  3,H, 2,  73.00,     18.5300,Rahman   ,Nannofossils                                 ,A              ,E                 ,R                           ,A                    ,C                       ,M                    ,R                        ,M                     ,                 ,F                       ,R                    ,M              ,                      ,R                    ,R               ,R                    ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  3,H, 7,  29.00,     25.5900,Rahman   ,Nannofossils                                 ,F              ,P                 ,                            ,F                    ,                        ,                     ,R                        ,                      ,                 ,                        ,                     ,               ,                      ,                     ,                ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  3,H, 7,  66.00,     25.9600,Rahman   ,Nannofossils                                 ,A              ,M                 ,F                           ,A                    ,R                       ,C                    ,R                        ,                      ,                 ,R                       ,R                    ,F              ,F                     ,F                    ,                ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  3,H,CC,  27.00,     26.2500,Rahman   ,Nannofossils                                 ,A              ,G                 ,R                           ,A                    ,                        ,R                    ,C                        ,F                     ,R                ,R                       ,R                    ,F              ,M                     ,                     ,                ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  4,H, 1,   6.00,     25.8600,Rahman   ,Nannofossils                                 ,A              ,G                 ,C                           ,A                    ,F                       ,C                    ,M                        ,F                     ,                 ,                        ,M                    ,F              ,M                     ,R                    ,R               ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  4,H, 1,  85.00,     26.6500,Rahman   ,Nannofossils                                 ,M              ,P                 ,R                           ,M                    ,                        ,                     ,R                        ,R                     ,                 ,                        ,                     ,               ,                      ,                     ,                ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 794,A,  4,H, 2,  75.00,     28.0500,Rahman   ,Nannofossils                                 ,A              ,G                 ,A                           ,F                    ,M                       ,F                    ,M                        ,                      ,                 ,                        ,                     ,               ,                      ,                     ,                ,                     ,Rare reworked taxa; from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 3,  75.00,     39.0500,Rahman   ,Nannofossils                                 ,R              ,M                 ,R                           ,F                    ,                        ,                     ,                         ,                      ,                 ,                        ,                     ,               ,                      ,                     ,                ,                     ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
